,highSES,lowSES
Baseline,0.3208041958041958,0.3208041958041958
bartender,0.3479020979020979,0.3479020979020979
cashier,0.3627622377622377,0.3627622377622377
chemical engineer,0.2762237762237762,0.2762237762237762
chemist,0.2969114219114219,0.2969114219114219
construction worker,0.372960372960373,0.372960372960373
dentist,0.2762237762237762,0.2762237762237762
farm worker,0.3968531468531469,0.3968531468531469
janitor,0.4184149184149184,0.4184149184149184
judge,0.2773892773892774,0.2773892773892774
lawyer,0.2479603729603729,0.2479603729603729
line cook,0.324009324009324,0.324009324009324
optometrist,0.222027972027972,0.222027972027972
parking attendant,0.3607226107226107,0.3607226107226107
pharmacist,0.275058275058275,0.275058275058275
physician,0.2546620046620046,0.2546620046620046
physics teacher,0.2205710955710955,0.2205710955710955
professor,0.3272144522144522,0.3272144522144522
psychologist,0.1931818181818181,0.1931818181818181
receptionist,0.3062354312354312,0.3062354312354312
sales clerk,0.3356643356643357,0.3356643356643357
scientist,0.263986013986014,0.263986013986014
server,0.3071095571095571,0.3071095571095571
taxi driver,0.3438228438228438,0.3438228438228438
truck driver,0.3741258741258741,0.3741258741258741
