,highSES,lowSES
Baseline,0.0903263403263403,0.0002913752913752
bartender,0.0684731934731934,0.0256410256410256
cashier,0.0783799533799533,0.0413752913752913
chemical engineer,0.0705128205128205,0.0171911421911421
chemist,0.1048951048951049,0.011072261072261
construction worker,0.0448717948717948,0.0614801864801864
dentist,0.1223776223776223,0.0189393939393939
farm worker,0.0303030303030303,0.0716783216783216
janitor,0.0163170163170163,0.0332167832167832
judge,0.0402097902097902,-0.0037878787878787
lawyer,0.0655594405594405,0.0078671328671328
line cook,0.0396270396270396,0.0221445221445221
optometrist,0.0789627039627039,0.0221445221445221
parking attendant,0.074009324009324,0.0273892773892773
pharmacist,0.1156759906759906,0.027097902097902
physician,0.1308275058275058,0.011072261072261
physics teacher,0.097027972027972,0.0058275058275058
professor,0.1483100233100233,0.0093240093240093
psychologist,0.0402097902097902,0.0067016317016317
receptionist,0.0917832167832167,0.0361305361305361
sales clerk,0.1011072261072261,0.0393356643356643
scientist,0.0728438228438228,0.0026223776223776
server,0.0757575757575757,0.0262237762237762
taxi driver,0.0675990675990676,0.0134032634032634
truck driver,0.0244755244755244,0.0367132867132867
