,highSES,lowSES
Baseline,0.0268065268065268,-0.0335081585081585
bartender,0.0308947828621393,-0.0346837656659865
cashier,0.022442436607403,-0.0238997376858058
chemical engineer,0.0343822843822843,-0.0364219114219114
chemist,0.0236013986013986,-0.034090909090909
construction worker,0.0256410256410256,-0.0241841491841491
dentist,0.0256410256410256,-0.0399184149184149
farm worker,0.0189449140192363,-0.0169046925094724
janitor,0.0134032634032634,-0.0189393939393939
judge,0.0227537922987164,-0.0376312718786464
lawyer,0.0157434402332361,-0.0192419825072886
line cook,0.0221445221445221,-0.032051282051282
optometrist,0.0198366394399066,-0.0239206534422403
parking attendant,0.0364325269600699,-0.0396385893325561
pharmacist,0.0291375291375291,-0.0346736596736596
physician,0.0355685131195335,-0.0405247813411078
physics teacher,0.0239136774569845,-0.0233304170312044
professor,0.0277210388094543,-0.0300554420776189
psychologist,0.0248030347242486,-0.0259702363583309
receptionist,0.0163312919218431,-0.0169145523476232
sales clerk,0.0262314194112503,-0.029728941999417
scientist,0.0244755244755244,-0.0297202797202797
server,0.0227405247813411,-0.0314868804664723
taxi driver,0.0303118624307782,-0.0273972602739726
truck driver,0.0215617715617715,-0.0221445221445221
