,highSES,lowSES
Baseline,0.0177738927738927,0.018065268065268
bartender,0.0305944055944055,0.0343822843822843
cashier,0.0288545613523754,0.0375983678227921
chemical engineer,0.0483682983682983,0.0268065268065268
chemist,0.0431235431235431,0.0259324009324009
construction worker,0.0285547785547785,0.0734265734265734
dentist,0.049271137026239,0.0227405247813411
farm worker,0.0236013986013986,0.069055944055944
janitor,0.0265151515151515,0.0533216783216783
judge,0.0527389277389277,0.0352564102564102
lawyer,0.0536286796852229,0.0285631011366948
line cook,0.0329254079254079,0.06002331002331
optometrist,0.053030303030303,0.0262237762237762
parking attendant,0.029728941999417,0.0332264645875837
pharmacist,0.0445934129991256,0.0276887204896531
physician,0.0606237248615564,0.0303118624307782
physics teacher,0.0501165501165501,0.0291375291375291
professor,0.0536130536130536,0.0282634032634032
psychologist,0.0626639463713203,0.0396385893325561
receptionist,0.0349650349650349,0.032051282051282
sales clerk,0.0323520839405421,0.0367239871757505
scientist,0.0571262022733896,0.0288545613523754
server,0.0407925407925407,0.0349650349650349
taxi driver,0.0352564102564102,0.0509906759906759
truck driver,0.04167881084232,0.0891868259982512
