,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.0,0.0,,0.0009578544061302,0.001937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African,0.0,0.0,,0.0028735632183908,0.003875968992248,0.0023148148148148,0.0,0.0,0.0,0.0,0.0034013605442176,0.0,0.0,0.0,0.0,0.0
African American,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab,0.0,0.0,,0.0019157088122605,0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0017006802721088,0.0178571428571428,0.0166666666666666,0.0,0.0,0.0
Asian,0.0,0.0,,0.0019157088122605,0.000968992248062,0.0028935185185185,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0013297872340425
Black,0.0,0.0,,0.0095785440613026,0.00484496124031,0.0167824074074074,0.0,0.0,0.0,0.0,0.0034013605442176,0.0,0.0,0.0,0.0,0.0039893617021276
Caucasian,0.0,0.0,,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851
European,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hispanic,0.0,0.0,,0.0009578544061302,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jewish,0.0,0.0,,0.0019157088122605,0.0,0.0017361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147058823529411,0.0
Latino,0.0,0.0,,0.003831417624521,0.0,0.0034722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851
Middle Eastern,0.0,0.0,,0.003831417624521,0.0,0.0005787037037037,0.0,0.0108695652173913,0.0,0.0238095238095238,0.0,0.0,0.0083333333333333,0.0,0.0,0.0
Native American,0.01,0.0,,0.0028735632183908,0.000968992248062,0.0023148148148148,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0166666666666666,0.0,0.0,0.0026595744680851
Roma,0.0,0.0,,0.0105363984674329,0.003875968992248,0.011574074074074,0.0,0.0,0.0121951219512195,0.0,0.0051020408163265,0.0,0.0,0.0,0.0,0.0026595744680851
South American,0.0,0.0,,0.0019157088122605,0.000968992248062,0.0023148148148148,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0026595744680851
White,0.0,0.0,,0.0028735632183908,0.000968992248062,0.0063657407407407,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0013297872340425
