,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African,0.0,0.0,,0.0019157088122605,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0
African American,0.0,0.0,,0.0,0.0,0.0011574074074074,0.0,0.0,0.0,0.0238095238095238,0.0025510204081632,0.0,0.0,0.0,0.0,0.0026595744680851
Alaskan,0.0,0.0,,0.0,0.002906976744186,0.0011574074074074,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0
Arab,0.0,0.0,,0.0009578544061302,0.002906976744186,0.0017361111111111,0.0,0.0108695652173913,0.0,0.0,0.0017006802721088,0.0,0.0166666666666666,0.0,0.0,0.0
Asian,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black,0.0,0.0,,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0026595744680851
Caucasian,0.0,0.0,,0.0,0.002906976744186,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851
European,0.02,0.0,,0.0,0.000968992248062,0.0005787037037037,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0
Hispanic,0.0,0.0,,0.0019157088122605,0.000968992248062,0.0,0.0,0.0108695652173913,0.0,0.0,0.0025510204081632,0.0,0.0166666666666666,0.0,0.0,0.0
Jewish,0.0,0.0,,0.0,0.0,0.0017361111111111,0.0,0.0,0.0,0.0238095238095238,0.0008503401360544,0.0,0.0,0.0,0.0,0.0
Latino,0.0,0.0,,0.0009578544061302,0.003875968992248,0.0,0.0,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0
Middle Eastern,0.0,0.0,,0.0019157088122605,0.0,0.0,0.0,0.0108695652173913,0.0,0.0,0.0,0.0,0.0166666666666666,0.0,0.0,0.0013297872340425
Native American,0.0,0.0,,0.0,0.0,0.0017361111111111,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0053191489361702
Roma,0.0,0.0,,0.0,0.002906976744186,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851
South American,0.0,0.0,,0.0009578544061302,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
