,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,-0.04,0.0192307692307692,,0.1139846743295019,0.0222868217054263,0.0827546296296296,-0.09375,0.0543478260869565,0.0365853658536585,0.0833333333333333,0.1020408163265306,-0.0535714285714285,0.0083333333333333,0.0,0.0735294117647058,-0.0319148936170212
African,0.05,-0.0769230769230769,,0.0335249042145593,-0.00484496124031,-0.0075231481481481,0.09375,0.0543478260869565,0.0060975609756097,0.0476190476190476,0.0297619047619047,0.0625,0.1666666666666666,0.0119047619047619,-0.0588235294117647,-0.0279255319148936
African American,-0.05,0.0461538461538461,,-0.0009578544061302,0.0067829457364341,-0.0011574074074074,-0.046875,-0.1521739130434782,0.024390243902439,-0.0119047619047619,0.0306122448979591,-0.0267857142857142,-0.0333333333333333,-0.0595238095238095,0.0147058823529411,-0.0039893617021276
Arab,0.08,-0.0038461538461538,,0.0440613026819923,-0.0135658914728682,-0.011574074074074,0.171875,-0.0652173913043478,-0.0121951219512195,-0.0595238095238095,0.0246598639455782,0.1339285714285714,-0.0666666666666666,-0.0238095238095238,0.088235294117647,-0.014627659574468
Asian,-0.03,-0.0653846153846153,,0.0296934865900383,0.0096899224806201,0.0231481481481481,-0.15625,-0.108695652173913,0.0121951219512195,-0.0238095238095238,-0.0178571428571428,0.0178571428571428,-0.1833333333333333,-0.0119047619047619,-0.088235294117647,0.0
Black,-0.17,-0.0307692307692307,,-0.0239463601532567,-0.0319767441860465,0.0104166666666666,0.046875,-0.0434782608695652,0.0365853658536585,0.0476190476190476,0.0051020408163265,0.0178571428571428,0.05,0.119047619047619,-0.0294117647058823,0.0
Caucasian,0.0,-0.0307692307692307,,0.0076628352490421,-0.0135658914728682,0.0162037037037037,0.078125,-0.0434782608695652,-0.0182926829268292,-0.0357142857142857,-0.0144557823129251,0.0714285714285714,-0.0916666666666666,0.0833333333333333,0.1764705882352941,-0.014627659574468
European,0.09,-0.0076923076923076,,0.0019157088122605,0.001937984496124,0.0341435185185185,0.1875,0.1195652173913043,0.0,-0.0119047619047619,-0.0059523809523809,0.0,0.0833333333333333,-0.0833333333333333,0.1323529411764706,-0.0159574468085106
Hispanic,-0.07,-0.05,,0.0095785440613026,-0.0174418604651162,-0.0034722222222222,0.015625,-0.0543478260869565,-0.0304878048780487,0.0476190476190476,0.0085034013605442,-0.0089285714285714,-0.0416666666666666,0.1904761904761904,0.0588235294117647,0.014627659574468
Jewish,-0.02,0.0769230769230769,,-0.0162835249042145,-0.002906976744186,-0.005787037037037,0.078125,-0.0760869565217391,0.048780487804878,-0.119047619047619,-0.0119047619047619,-0.1339285714285714,-0.025,0.0595238095238095,-0.0441176470588235,0.0079787234042553
Latino,0.01,0.0307692307692307,,0.0411877394636015,-0.0077519379844961,-0.0167824074074074,-0.109375,-0.1521739130434782,0.0304878048780487,-0.0952380952380952,0.0144557823129251,0.0982142857142857,-0.0166666666666666,0.0714285714285714,0.1470588235294117,-0.0093085106382978
Middle Eastern,-0.02,-0.0346153846153846,,0.0201149425287356,-0.0106589147286821,-0.0092592592592592,0.171875,-0.0217391304347826,-0.024390243902439,-0.0833333333333333,-0.0034013605442176,0.0089285714285714,-0.025,0.0833333333333333,-0.0441176470588235,0.0026595744680851
Native American,0.04,0.0346153846153846,,-0.0162835249042145,0.0077519379844961,-0.0023148148148148,0.078125,-0.0326086956521739,0.0,0.0,0.0289115646258503,0.0625,0.0333333333333333,-0.2142857142857142,0.0,-0.0026595744680851
Roma,-0.05,-0.0076923076923076,,0.0114942528735632,0.0213178294573643,0.0289351851851851,0.109375,-0.108695652173913,-0.0365853658536585,0.0833333333333333,0.0374149659863945,0.0535714285714285,-0.0166666666666666,-0.0595238095238095,0.0147058823529411,-0.0359042553191489
South American,-0.05,0.0115384615384615,,0.0191570881226053,-0.0358527131782945,0.0434027777777777,0.109375,0.0434782608695652,-0.0121951219512195,0.1071428571428571,0.0841836734693877,-0.0357142857142857,-0.0166666666666666,-0.1428571428571428,-0.1617647058823529,-0.0438829787234042
White,-0.05,0.0269230769230769,,-0.0153256704980842,0.0125968992248062,0.0219907407407407,0.25,-0.0869565217391304,0.0426829268292682,0.0476190476190476,-0.0136054421768707,-0.0357142857142857,-0.025,0.0714285714285714,0.1617647058823529,-0.0345744680851063
