,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.29,0.4384615384615384,1.0220306513409962,1.0368217054263569,1.0190972222222223,0.296875,0.4021739130434782,0.3841463414634146,0.5357142857142857,0.9693877551020408,0.4285714285714285,0.4,0.4285714285714285,0.4705882352941176,0.9720744680851064
African,0.63,0.7346153846153847,0.7155172413793104,0.7335271317829457,0.7719907407407407,0.78125,0.5652173913043478,0.5670731707317073,0.6666666666666666,0.782312925170068,0.6607142857142857,0.525,0.7738095238095238,0.5294117647058824,0.788563829787234
African American,0.72,0.7076923076923077,0.75,0.7354651162790697,0.8067129629629629,0.578125,0.5760869565217391,0.6280487804878049,0.7142857142857143,0.7891156462585034,0.7142857142857143,0.525,0.7023809523809523,0.6764705882352942,0.8164893617021277
Arab,0.7,0.7384615384615385,0.7940613026819924,0.8032945736434108,0.7777777777777778,0.59375,0.7282608695652174,0.5,0.7142857142857143,0.8528911564625851,0.6696428571428571,0.525,0.8571428571428571,0.7058823529411765,0.8031914893617021
Asian,0.55,0.6269230769230769,0.7078544061302682,0.7393410852713178,0.7557870370370371,0.578125,0.7282608695652174,0.4817073170731707,0.6190476190476191,0.7670068027210885,0.6875,0.525,0.7380952380952381,0.6470588235294118,0.7194148936170213
Black,0.55,0.5923076923076923,0.6676245210727969,0.6812015503875969,0.7569444444444444,0.53125,0.4565217391304347,0.5,0.5714285714285714,0.7236394557823129,0.7232142857142857,0.5583333333333333,0.6547619047619048,0.6323529411764706,0.7194148936170213
Caucasian,0.59,0.5846153846153846,0.7011494252873564,0.687015503875969,0.7459490740740741,0.609375,0.75,0.5060975609756098,0.6190476190476191,0.782312925170068,0.6160714285714286,0.5416666666666666,0.7619047619047619,0.6323529411764706,0.7925531914893617
European,0.58,0.6730769230769231,0.7222222222222222,0.7810077519379846,0.7858796296296297,0.625,0.5,0.5121951219512195,0.5595238095238095,0.8112244897959183,0.7321428571428571,0.6,0.6785714285714286,0.6323529411764706,0.8324468085106383
Hispanic,0.57,0.7038461538461539,0.7308429118773946,0.7325581395348837,0.7685185185185185,0.6875,0.6086956521739131,0.5670731707317073,0.6190476190476191,0.8511904761904762,0.7232142857142857,0.6083333333333333,0.6785714285714286,0.8235294117647058,0.8045212765957447
Jewish,0.63,0.676923076923077,0.7030651340996169,0.7257751937984496,0.7094907407407407,0.65625,0.5760869565217391,0.5792682926829268,0.7142857142857143,0.7687074829931972,0.6160714285714286,0.6083333333333333,0.7738095238095238,0.6176470588235294,0.7486702127659575
Latino,0.62,0.7461538461538462,0.7097701149425287,0.751937984496124,0.7893518518518519,0.578125,0.6086956521739131,0.573170731707317,0.6190476190476191,0.842687074829932,0.6785714285714286,0.5583333333333333,0.7857142857142857,0.6470588235294118,0.7699468085106383
Middle Eastern,0.66,0.676923076923077,0.7959770114942529,0.7645348837209303,0.8090277777777778,0.703125,0.5978260869565217,0.6219512195121951,0.6190476190476191,0.8520408163265306,0.8571428571428571,0.5916666666666667,0.75,0.7058823529411765,0.7779255319148937
Native American,0.75,0.7038461538461539,0.6992337164750958,0.7257751937984496,0.7864583333333334,0.75,0.7065217391304348,0.5304878048780488,0.4761904761904761,0.8248299319727891,0.7142857142857143,0.6916666666666667,0.5714285714285714,0.75,0.7872340425531915
Roma,0.66,0.6615384615384615,0.6772030651340997,0.7994186046511628,0.7667824074074074,0.546875,0.6195652173913043,0.6341463414634146,0.6666666666666666,0.8044217687074829,0.7678571428571429,0.525,0.7738095238095238,0.6323529411764706,0.7672872340425532
South American,0.63,0.6038461538461538,0.8409961685823755,0.9127906976744186,0.9322916666666666,0.703125,0.6956521739130435,0.5487804878048781,0.5357142857142857,0.971938775510204,0.6785714285714286,0.5166666666666667,0.6666666666666666,0.6764705882352942,0.8962765957446809
White,0.58,0.5615384615384615,0.6408045977011494,0.6356589147286822,0.6458333333333334,0.515625,0.6195652173913043,0.4756097560975609,0.5833333333333334,0.6998299319727891,0.6517857142857143,0.5333333333333333,0.6547619047619048,0.4558823529411764,0.699468085106383
