,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,-0.02,-0.0115384615384615,,0.0210727969348659,-0.00484496124031,0.015625,0.0,-0.0326086956521739,0.0121951219512195,-0.0238095238095238,-0.0272108843537414,0.0178571428571428,-0.0083333333333333,0.0,-0.088235294117647,0.0172872340425531
African,0.02,-0.0307692307692307,,0.0268199233716475,-0.000968992248062,0.0416666666666666,-0.015625,-0.0434782608695652,-0.0121951219512195,0.119047619047619,-0.0153061224489795,0.0,-0.05,-0.0476190476190476,-0.088235294117647,-0.026595744680851
African American,-0.01,-0.0192307692307692,,0.0067049808429118,0.0,0.0179398148148148,-0.015625,-0.0543478260869565,-0.0182926829268292,0.0119047619047619,0.0034013605442176,0.0892857142857142,-0.0333333333333333,0.0357142857142857,-0.0294117647058823,-0.0079787234042553
Arab,0.03,-0.0307692307692307,,-0.0086206896551724,0.0261627906976744,0.0179398148148148,-0.03125,-0.0434782608695652,0.048780487804878,-0.0119047619047619,-0.0136054421768707,0.0446428571428571,-0.0416666666666666,0.0833333333333333,-0.1764705882352941,-0.0132978723404255
Asian,0.03,-0.0384615384615384,,0.0028735632183908,0.0339147286821705,0.0243055555555555,0.0,-0.0217391304347826,0.0426829268292682,-0.0119047619047619,0.0008503401360544,-0.0535714285714285,-0.0083333333333333,0.1071428571428571,-0.0441176470588235,-0.0571808510638297
Black,0.1,-0.0846153846153846,,0.0019157088122605,-0.0096899224806201,-0.0121527777777777,0.109375,0.0217391304347826,0.0,0.0595238095238095,0.0280612244897959,0.0982142857142857,0.0333333333333333,0.0476190476190476,-0.0294117647058823,-0.0212765957446808
Caucasian,0.01,-0.0615384615384615,,0.0086206896551724,0.0155038759689922,-0.0011574074074074,0.078125,-0.0543478260869565,0.0304878048780487,0.0357142857142857,0.016156462585034,0.0535714285714285,0.0166666666666666,0.1785714285714285,-0.0735294117647058,-0.0106382978723404
European,0.08,-0.0115384615384615,,0.0162835249042145,0.0077519379844961,0.0162037037037037,-0.09375,-0.0434782608695652,0.024390243902439,-0.0357142857142857,0.0272108843537414,0.0089285714285714,-0.0166666666666666,0.0,-0.0588235294117647,-0.0279255319148936
Hispanic,0.09,-0.0307692307692307,,0.0172413793103448,0.0,0.0289351851851851,0.09375,-0.0108695652173913,0.0182926829268292,0.0,-0.0144557823129251,0.1071428571428571,-0.0583333333333333,0.0714285714285714,-0.0294117647058823,-0.0359042553191489
Jewish,-0.01,-0.0576923076923076,,-0.0019157088122605,0.0096899224806201,0.0023148148148148,-0.046875,0.0217391304347826,0.0426829268292682,0.1428571428571428,0.032312925170068,-0.0267857142857142,-0.0166666666666666,0.0595238095238095,0.0147058823529411,-0.0186170212765957
Latino,0.06,-0.073076923076923,,0.0095785440613026,-0.0300387596899224,0.0266203703703703,0.140625,-0.0108695652173913,0.073170731707317,0.0476190476190476,0.0255102040816326,-0.0178571428571428,0.0416666666666666,0.0833333333333333,-0.0294117647058823,-0.0199468085106383
Middle Eastern,0.01,-0.1076923076923077,,0.014367816091954,0.0300387596899224,0.0092592592592592,0.078125,-0.108695652173913,0.0304878048780487,0.0,-0.0051020408163265,0.0714285714285714,-0.0333333333333333,0.0833333333333333,-0.0441176470588235,-0.0319148936170212
Native American,0.01,-0.0307692307692307,,-0.0047892720306513,0.0106589147286821,0.0306712962962962,0.03125,0.0760869565217391,-0.0182926829268292,-0.0952380952380952,0.0204081632653061,0.0,0.0166666666666666,0.119047619047619,-0.088235294117647,-0.0199468085106383
Roma,0.02,-0.0538461538461538,,-0.0191570881226053,0.005813953488372,0.0289351851851851,0.15625,0.0543478260869565,0.0304878048780487,0.0357142857142857,-0.0136054421768707,-0.0535714285714285,0.075,-0.0119047619047619,0.0147058823529411,-0.0132978723404255
South American,0.05,-0.05,,-0.043103448275862,-0.0125968992248062,0.021412037037037,-0.03125,0.0434782608695652,0.0365853658536585,0.0119047619047619,0.0042517006802721,0.0446428571428571,-0.0083333333333333,0.0714285714285714,-0.0588235294117647,0.0132978723404255
White,0.09,-0.0384615384615384,,-0.0162835249042145,0.0358527131782945,0.015625,-0.109375,-0.0760869565217391,0.0,0.0,-0.0008503401360544,-0.0267857142857142,-0.0916666666666666,0.1071428571428571,-0.1617647058823529,-0.0186170212765957
