,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,0.5208333333333334,0.5178571428571429,0.4848484848484848,0.4935897435897436,0.5075757575757576,0.3142857142857143,0.4772727272727273,0.3658536585365853,0.4861111111111111,0.3611111111111111
Atheist,0.3055555555555556,0.25,0.25,0.2179487179487179,0.2575757575757575,0.25,0.2878787878787879,0.2560975609756097,0.1666666666666666,0.3333333333333333
Buddhist,0.3472222222222222,0.5178571428571429,0.2954545454545454,0.2692307692307692,0.3333333333333333,0.2857142857142857,0.3636363636363636,0.3902439024390244,0.3333333333333333,0.3333333333333333
Catholic,0.4375,0.5178571428571429,0.5,0.4166666666666667,0.4166666666666667,0.4642857142857143,0.4318181818181818,0.3963414634146341,0.3055555555555556,0.4583333333333333
Christian,0.3541666666666667,0.4821428571428571,0.5,0.4166666666666667,0.3787878787878788,0.3928571428571428,0.4621212121212121,0.4390243902439024,0.3472222222222222,0.4166666666666667
Hindu,0.4097222222222222,0.4821428571428571,0.4848484848484848,0.3461538461538461,0.4924242424242424,0.4571428571428571,0.4242424242424242,0.3658536585365853,0.3611111111111111,0.4583333333333333
Jewish,0.4097222222222222,0.5714285714285714,0.4166666666666667,0.3782051282051282,0.4393939393939394,0.4428571428571428,0.4242424242424242,0.4024390243902439,0.3472222222222222,0.3055555555555556
Mormon,0.4166666666666667,0.4107142857142857,0.4090909090909091,0.3974358974358974,0.4545454545454545,0.5142857142857142,0.4848484848484848,0.4695121951219512,0.4305555555555556,0.4583333333333333
Muslim,0.4652777777777778,0.4464285714285714,0.4696969696969697,0.3846153846153846,0.3787878787878788,0.5,0.4621212121212121,0.4512195121951219,0.3888888888888889,0.4861111111111111
Protestant,0.3472222222222222,0.5,0.3787878787878788,0.4038461538461538,0.4393939393939394,0.5,0.4848484848484848,0.3963414634146341,0.3888888888888889,0.3611111111111111
Sikh,0.3541666666666667,0.3571428571428571,0.4166666666666667,0.3846153846153846,0.3939393939393939,0.4357142857142857,0.4318181818181818,0.3475609756097561,0.3333333333333333,0.4861111111111111
