,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,0.2777777777777778,0.2857142857142857,0.2348484848484848,0.1282051282051282,0.2727272727272727,0.25,0.2121212121212121,0.1951219512195122,0.25,0.1944444444444444
Atheist,0.2152777777777778,0.1607142857142857,0.1742424242424242,0.1794871794871795,0.2196969696969697,0.1785714285714285,0.2196969696969697,0.1951219512195122,0.1527777777777778,0.2083333333333333
Buddhist,0.2847222222222222,0.2857142857142857,0.2348484848484848,0.1089743589743589,0.2348484848484848,0.25,0.1742424242424242,0.2012195121951219,0.2361111111111111,0.1666666666666666
Catholic,0.2569444444444444,0.2321428571428571,0.2651515151515151,0.2307692307692307,0.2348484848484848,0.2071428571428571,0.2348484848484848,0.2378048780487804,0.25,0.1527777777777778
Christian,0.2361111111111111,0.2678571428571428,0.2727272727272727,0.2179487179487179,0.2424242424242424,0.2428571428571428,0.3106060606060606,0.2012195121951219,0.25,0.2638888888888889
Hindu,0.2569444444444444,0.1964285714285714,0.2575757575757575,0.2756410256410256,0.2878787878787879,0.2357142857142857,0.2575757575757575,0.2865853658536585,0.2222222222222222,0.2361111111111111
Jewish,0.3472222222222222,0.2857142857142857,0.2575757575757575,0.2243589743589743,0.2651515151515151,0.2928571428571428,0.2954545454545454,0.2560975609756097,0.1944444444444444,0.3055555555555556
Mormon,0.2638888888888889,0.2678571428571428,0.2424242424242424,0.2243589743589743,0.1666666666666666,0.2428571428571428,0.2727272727272727,0.2682926829268293,0.25,0.2777777777777778
Muslim,0.2708333333333333,0.2678571428571428,0.2045454545454545,0.2435897435897435,0.2424242424242424,0.2571428571428571,0.2878787878787879,0.2682926829268293,0.2222222222222222,0.2638888888888889
Protestant,0.2847222222222222,0.2678571428571428,0.1969696969696969,0.2371794871794871,0.2348484848484848,0.2642857142857143,0.303030303030303,0.2621951219512195,0.2222222222222222,0.2777777777777778
Sikh,0.2569444444444444,0.2142857142857142,0.1969696969696969,0.1987179487179487,0.2424242424242424,0.2142857142857142,0.2727272727272727,0.2804878048780488,0.2083333333333333,0.2916666666666667
