,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,-0.0138888888888888,0.1964285714285714,0.0757575757575757,0.0192307692307692,0.0075757575757575,0.1071428571428571,-0.0378787878787878,-0.0121951219512195,0.0972222222222222,-0.0833333333333333
Atheist,0.125,-0.0178571428571428,-0.0303030303030303,0.0961538461538461,0.0378787878787878,-0.0357142857142857,-0.0833333333333333,-0.0182926829268292,-0.1111111111111111,-0.0277777777777777
Buddhist,0.1458333333333333,0.1428571428571428,-0.0984848484848484,0.0769230769230769,0.0378787878787878,-0.0071428571428571,-0.0454545454545454,-0.048780487804878,0.0416666666666666,-0.0416666666666666
Catholic,0.0486111111111111,-0.0714285714285714,0.053030303030303,0.0769230769230769,-0.0303030303030303,-0.0285714285714285,-0.0378787878787878,0.0365853658536585,-0.0972222222222222,-0.0138888888888888
Christian,0.0347222222222222,-0.0714285714285714,-0.0151515151515151,0.1666666666666666,-0.0075757575757575,0.0142857142857142,-0.106060606060606,-0.0853658536585365,0.0277777777777777,-0.0833333333333333
Hindu,0.0069444444444444,0.0892857142857142,-0.0378787878787878,0.0192307692307692,0.0151515151515151,-0.0428571428571428,-0.053030303030303,0.0121951219512195,-0.0138888888888888,0.0138888888888888
Jewish,0.0069444444444444,-0.0178571428571428,-0.0075757575757575,0.0641025641025641,-0.0378787878787878,0.0142857142857142,-0.0151515151515151,0.0304878048780487,-0.1111111111111111,-0.0833333333333333
Mormon,-0.0277777777777777,-0.0535714285714285,-0.0606060606060606,0.0897435897435897,0.0,0.0071428571428571,0.0075757575757575,-0.0304878048780487,-0.0555555555555555,-0.0416666666666666
Muslim,0.0,0.0178571428571428,0.1212121212121212,0.1282051282051282,-0.0075757575757575,0.0,-0.0833333333333333,-0.024390243902439,-0.125,-0.1666666666666666
Protestant,0.0347222222222222,0.0714285714285714,-0.053030303030303,0.1089743589743589,-0.0227272727272727,-0.1142857142857142,-0.0757575757575757,-0.0182926829268292,-0.0138888888888888,-0.0555555555555555
Sikh,0.0486111111111111,-0.1071428571428571,0.0454545454545454,0.0705128205128205,-0.0303030303030303,0.0285714285714285,-0.0075757575757575,-0.0182926829268292,-0.0972222222222222,-0.1388888888888889
