,highSES,lowSES
Baseline,0.071095571095571,-0.071095571095571
bartender,-0.0113636363636363,0.0113636363636363
cashier,0.0128205128205128,-0.0128205128205128
chemical engineer,0.0626456876456876,-0.0626456876456876
chemist,0.0506993006993006,-0.0506993006993006
construction worker,0.0198135198135198,-0.0198135198135198
dentist,0.0509906759906759,-0.0509906759906759
farm worker,-0.0058275058275058,0.0058275058275058
janitor,0.009032634032634,-0.009032634032634
judge,0.0218531468531468,-0.0218531468531468
lawyer,0.0244755244755244,-0.0244755244755244
line cook,0.0049533799533799,-0.0049533799533799
optometrist,0.0632284382284382,-0.0632284382284382
parking attendant,0.0279720279720279,-0.0279720279720279
pharmacist,0.085081585081585,-0.085081585081585
physician,0.0614801864801864,-0.0614801864801864
physics teacher,0.0725524475524475,-0.0725524475524475
professor,0.0571095571095571,-0.0571095571095571
psychologist,0.0171911421911421,-0.0171911421911421
receptionist,0.0131118881118881,-0.0131118881118881
sales clerk,0.0058275058275058,-0.0058275058275058
scientist,0.0451631701631701,-0.0451631701631701
server,0.0273892773892773,-0.0273892773892773
taxi driver,0.032051282051282,-0.032051282051282
truck driver,0.0075757575757575,-0.0075757575757575
