,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.0,-0.05,0.0162835249042145,0.0532945736434108,0.0219907407407407,-0.046875,-0.0869565217391304,-0.0548780487804878,0.1071428571428571,0.0170068027210884,-0.0178571428571428,0.0833333333333333,0.0119047619047619,0.1323529411764706,0.0997340425531914
African,0.28,0.1038461538461538,0.0708812260536398,0.0581395348837209,0.0677083333333333,0.015625,-0.1847826086956521,0.0060975609756097,-0.0119047619047619,0.0187074829931972,-0.0714285714285714,0.0416666666666666,0.0476190476190476,0.0735294117647058,0.0292553191489361
African American,0.15,0.1923076923076923,0.0450191570881226,-0.0222868217054263,0.1342592592592592,0.125,-0.0108695652173913,-0.048780487804878,0.0595238095238095,-0.0068027210884353,0.0089285714285714,0.0,0.0476190476190476,-0.0441176470588235,0.0332446808510638
Arab,0.08,-0.0692307692307692,0.0727969348659003,0.0591085271317829,0.0416666666666666,0.109375,-0.1195652173913043,-0.048780487804878,0.0357142857142857,0.0025510204081632,0.1517857142857142,-0.1083333333333333,-0.0119047619047619,0.0294117647058823,0.0864361702127659
Asian,0.06,0.0653846153846153,0.0469348659003831,0.1676356589147286,0.0179398148148148,0.078125,0.1413043478260869,-0.0182926829268292,0.0833333333333333,0.0,-0.0267857142857142,0.0333333333333333,-0.0357142857142857,-0.0147058823529411,-0.0053191489361702
Black,0.0,0.0846153846153846,0.018199233716475,0.003875968992248,0.0920138888888889,0.09375,-0.0978260869565217,-0.0609756097560975,-0.0357142857142857,0.0578231292517006,0.0714285714285714,0.0416666666666666,0.0714285714285714,0.1176470588235294,0.0305851063829787
Caucasian,0.0,-0.023076923076923,0.0411877394636015,0.0232558139534883,-0.0162037037037037,0.234375,-0.0760869565217391,0.0670731707317073,0.0714285714285714,0.0144557823129251,0.0,0.0083333333333333,0.0952380952380952,-0.0441176470588235,0.1023936170212766
European,0.03,-0.0653846153846153,0.0421455938697318,0.0445736434108527,0.0208333333333333,0.140625,0.2608695652173913,0.024390243902439,-0.0476190476190476,0.0629251700680272,-0.0446428571428571,-0.0833333333333333,0.0,0.2205882352941176,0.0957446808510638
Hispanic,0.08,-0.0038461538461538,0.0507662835249042,-0.0339147286821705,0.0532407407407407,0.125,-0.0978260869565217,0.1646341463414634,0.0952380952380952,0.1717687074829932,-0.0982142857142857,0.0083333333333333,0.119047619047619,0.0441176470588235,0.0186170212765957
Jewish,0.03,0.0346153846153846,0.0737547892720306,0.0426356589147286,0.0127314814814814,0.078125,0.0108695652173913,0.0792682926829268,0.2857142857142857,0.0178571428571428,-0.0535714285714285,-0.1166666666666666,0.0595238095238095,0.0735294117647058,0.0904255319148936
Latino,-0.05,0.0076923076923076,0.0258620689655172,-0.0251937984496124,0.0671296296296296,0.0625,-0.0978260869565217,0.073170731707317,0.0357142857142857,0.1709183673469387,-0.0357142857142857,0.125,0.0357142857142857,0.2794117647058823,0.0199468085106383
Middle Eastern,0.16,0.05,0.2030651340996168,0.0445736434108527,0.0208333333333333,-0.03125,-0.1195652173913043,0.0304878048780487,0.1071428571428571,-0.0229591836734693,0.2053571428571428,-0.0166666666666666,-0.0595238095238095,-0.0588235294117647,0.038563829787234
Native American,0.13,0.0192307692307692,-0.0028735632183908,0.0116279069767441,0.0833333333333333,-0.09375,0.0108695652173913,-0.073170731707317,0.0714285714285714,0.0612244897959183,0.0178571428571428,0.2333333333333333,0.0119047619047619,-0.0588235294117647,0.0851063829787234
Roma,0.12,-0.0807692307692307,0.0555555555555555,0.0406976744186046,0.0196759259259259,0.15625,-0.0108695652173913,-0.0182926829268292,0.1785714285714285,0.0595238095238095,0.0803571428571428,0.0416666666666666,0.2738095238095238,-0.0294117647058823,0.038563829787234
South American,0.02,-0.0384615384615384,0.0067049808429118,0.0329457364341085,0.1070601851851851,-0.046875,-0.2717391304347826,0.0609756097560975,-0.0357142857142857,0.0977891156462585,0.0,-0.0916666666666666,0.0,0.2794117647058823,-0.0026595744680851
White,0.06,-0.023076923076923,0.0584291187739463,0.0697674418604651,0.011574074074074,-0.03125,0.0,0.0426829268292682,0.0119047619047619,-0.0229591836734693,-0.0625,0.0666666666666666,0.0119047619047619,0.0,0.0492021276595744
