,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.21,0.1615384615384615,0.2174329501915708,0.2248062015503876,0.1875,0.21875,0.2065217391304347,0.1951219512195122,0.1309523809523809,0.2363945578231292,0.2142857142857142,0.2,0.1428571428571428,0.2205882352941176,0.2513297872340425
African,0.21,0.1884615384615384,0.2365900383141762,0.2558139534883721,0.2204861111111111,0.1875,0.1739130434782608,0.1402439024390244,0.1666666666666666,0.2253401360544217,0.2321428571428571,0.2,0.1785714285714285,0.1323529411764706,0.226063829787234
African American,0.22,0.2153846153846154,0.2749042145593869,0.2703488372093023,0.2482638888888889,0.234375,0.1413043478260869,0.2804878048780488,0.2142857142857142,0.2602040816326531,0.2767857142857143,0.1833333333333333,0.2619047619047619,0.1470588235294117,0.2526595744680851
Arab,0.18,0.15,0.2193486590038314,0.2286821705426356,0.2025462962962963,0.21875,0.0978260869565217,0.1280487804878048,0.1547619047619047,0.2159863945578231,0.1160714285714285,0.1583333333333333,0.1547619047619047,0.1176470588235294,0.2446808510638297
Asian,0.2,0.1615384615384615,0.2356321839080459,0.2325581395348837,0.2129629629629629,0.109375,0.2065217391304347,0.1219512195121951,0.2023809523809523,0.2253401360544217,0.1696428571428571,0.1916666666666666,0.25,0.1617647058823529,0.2446808510638297
Black,0.17,0.1615384615384615,0.21455938697318,0.2199612403100775,0.2065972222222222,0.171875,0.1521739130434782,0.1219512195121951,0.1309523809523809,0.2168367346938775,0.1696428571428571,0.1666666666666666,0.1785714285714285,0.1470588235294117,0.2393617021276596
Caucasian,0.19,0.2038461538461538,0.2480842911877394,0.2335271317829457,0.2390046296296296,0.296875,0.2065217391304347,0.1829268292682926,0.1666666666666666,0.2406462585034013,0.2142857142857142,0.2166666666666666,0.2142857142857142,0.1323529411764706,0.2726063829787234
European,0.24,0.1923076923076923,0.2423371647509578,0.250968992248062,0.2280092592592592,0.234375,0.1956521739130435,0.1707317073170731,0.1309523809523809,0.2236394557823129,0.2410714285714285,0.1916666666666666,0.2142857142857142,0.1029411764705882,0.2553191489361702
Hispanic,0.13,0.1653846153846153,0.2576628352490421,0.2451550387596899,0.2181712962962963,0.171875,0.1630434782608695,0.2073170731707317,0.1547619047619047,0.2414965986394557,0.2410714285714285,0.1916666666666666,0.1666666666666666,0.1764705882352941,0.2420212765957446
Jewish,0.24,0.1653846153846153,0.2480842911877394,0.2451550387596899,0.2123842592592592,0.171875,0.1413043478260869,0.1524390243902439,0.1547619047619047,0.2508503401360544,0.2232142857142857,0.2333333333333333,0.1666666666666666,0.1176470588235294,0.2393617021276596
Latino,0.17,0.1769230769230769,0.2586206896551724,0.2412790697674418,0.2216435185185185,0.21875,0.1304347826086956,0.1768292682926829,0.1666666666666666,0.2346938775510204,0.2321428571428571,0.15,0.1785714285714285,0.1470588235294117,0.2327127659574468
Middle Eastern,0.18,0.15,0.2289272030651341,0.2160852713178294,0.2077546296296296,0.125,0.1739130434782608,0.1158536585365853,0.0952380952380952,0.2159863945578231,0.2321428571428571,0.1416666666666666,0.0952380952380952,0.1176470588235294,0.2313829787234042
Native American,0.16,0.1653846153846153,0.25,0.253875968992248,0.2193287037037037,0.171875,0.1521739130434782,0.1768292682926829,0.2023809523809523,0.2372448979591837,0.2053571428571428,0.1833333333333333,0.1309523809523809,0.1029411764705882,0.25
Roma,0.16,0.1192307692307692,0.2126436781609195,0.2248062015503876,0.1967592592592592,0.1875,0.1304347826086956,0.1463414634146341,0.1785714285714285,0.2142857142857142,0.1696428571428571,0.1666666666666666,0.2142857142857142,0.1323529411764706,0.2207446808510638
South American,0.23,0.1461538461538461,0.225095785440613,0.2432170542635658,0.2123842592592592,0.109375,0.108695652173913,0.2073170731707317,0.1071428571428571,0.238095238095238,0.2232142857142857,0.2083333333333333,0.1547619047619047,0.1323529411764706,0.25
White,0.28,0.2115384615384615,0.2308429118773946,0.2441860465116279,0.2268518518518518,0.1875,0.1521739130434782,0.1585365853658536,0.1071428571428571,0.2457482993197279,0.2321428571428571,0.225,0.1785714285714285,0.1764705882352941,0.25
