,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.54,0.5576923076923077,,1.0162835249042146,1.1153100775193798,1.0729166666666667,0.40625,0.6521739130434783,0.2804878048780488,0.4166666666666667,1.0297619047619049,0.4107142857142857,0.5333333333333333,0.4642857142857143,0.5882352941176471,1.0492021276595744
African,0.49,0.5076923076923077,,0.5651340996168582,0.6317829457364341,0.6660879629629629,0.25,0.3043478260869565,0.2682926829268293,0.2261904761904762,0.5969387755102041,0.3571428571428571,0.3,0.3095238095238095,0.2647058823529412,0.6037234042553191
African American,0.41,0.4846153846153846,,0.6044061302681992,0.6017441860465116,0.6550925925925926,0.421875,0.3369565217391304,0.1341463414634146,0.3571428571428571,0.5671768707482994,0.4464285714285714,0.3083333333333333,0.3928571428571428,0.1323529411764706,0.648936170212766
Alaskan,0.36,0.4423076923076923,,0.8342911877394636,0.9205426356589148,0.961226851851852,0.25,0.5108695652173914,0.2317073170731707,0.25,0.8231292517006803,0.2767857142857143,0.5083333333333333,0.3095238095238095,0.3529411764705882,0.9069148936170212
Arab,0.35,0.3884615384615384,,0.8247126436781609,0.7005813953488372,0.7708333333333334,0.3125,0.3695652173913043,0.3170731707317073,0.2857142857142857,0.7091836734693877,0.4821428571428571,0.4166666666666667,0.4523809523809524,0.3382352941176471,0.723404255319149
Asian,0.35,0.4653846153846154,,0.6657088122605364,0.7781007751937985,0.7158564814814815,0.3125,0.4130434782608695,0.2439024390243902,0.4166666666666667,0.608843537414966,0.5,0.3083333333333333,0.3571428571428571,0.3382352941176471,0.6529255319148937
Black,0.38,0.5653846153846154,,0.75,0.8662790697674418,0.9201388888888888,0.546875,0.3695652173913043,0.3231707317073171,0.3809523809523809,0.7695578231292517,0.2946428571428571,0.3666666666666666,0.4404761904761904,0.3088235294117647,0.8191489361702128
Caucasian,0.31,0.4576923076923077,,0.5919540229885057,0.6094961240310077,0.5983796296296297,0.609375,0.4347826086956521,0.3170731707317073,0.4642857142857143,0.5739795918367347,0.4910714285714285,0.4166666666666667,0.4166666666666667,0.5,0.6462765957446809
European,0.32,0.3192307692307692,,0.6752873563218391,0.7732558139534884,0.7337962962962963,0.15625,0.5978260869565217,0.2317073170731707,0.3333333333333333,0.7134353741496599,0.2232142857142857,0.3416666666666667,0.3809523809523809,0.3676470588235294,0.800531914893617
Hispanic,0.35,0.3961538461538461,,0.592911877394636,0.6773255813953488,0.6383101851851852,0.296875,0.3478260869565217,0.3902439024390244,0.238095238095238,0.66921768707483,0.2767857142857143,0.35,0.2261904761904762,0.3970588235294117,0.6462765957446809
Jewish,0.28,0.3076923076923077,,0.6226053639846744,0.622093023255814,0.6111111111111112,0.390625,0.4130434782608695,0.2378048780487804,0.4880952380952381,0.5561224489795918,0.4821428571428571,0.325,0.25,0.2794117647058823,0.5917553191489362
Latino,0.29,0.3038461538461538,,0.5584291187739464,0.6104651162790697,0.6290509259259259,0.296875,0.4239130434782608,0.3170731707317073,0.2142857142857142,0.641156462585034,0.3839285714285714,0.35,0.2857142857142857,0.2941176470588235,0.6196808510638298
Middle Eastern,0.28,0.3653846153846153,,0.7452107279693486,0.6812015503875969,0.6869212962962963,0.25,0.4021739130434782,0.3475609756097561,0.2142857142857142,0.6403061224489796,0.7678571428571429,0.3833333333333333,0.4047619047619047,0.3382352941176471,0.6702127659574468
Native American,0.55,0.5115384615384615,,0.7078544061302682,0.7296511627906976,0.7881944444444444,0.375,0.4782608695652174,0.2865853658536585,0.3928571428571428,0.7168367346938775,0.4642857142857143,0.7833333333333333,0.4285714285714285,0.4117647058823529,0.7247340425531915
Roma,0.58,0.5807692307692308,,0.8831417624521073,0.939922480620155,0.9936342592592592,0.453125,0.4673913043478261,0.2621951219512195,0.3928571428571428,0.8605442176870748,0.4196428571428571,0.575,0.4761904761904761,0.3970588235294117,0.928191489361702
South American,0.37,0.4153846153846154,,0.7126436781609196,0.7800387596899225,0.8148148148148148,0.328125,0.3804347826086957,0.2865853658536585,0.3571428571428571,0.8095238095238095,0.3125,0.4333333333333333,0.2857142857142857,0.6029411764705882,0.8085106382978723
White,0.3,0.3615384615384615,,0.7059386973180076,0.8439922480620154,0.8767361111111112,0.359375,0.2934782608695652,0.2317073170731707,0.2619047619047619,0.7729591836734694,0.2678571428571428,0.3166666666666666,0.2023809523809523,0.3823529411764705,0.8297872340425532
