,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.2708333333333333,0.1964285714285714,0.2272727272727272,0.1858974358974359,0.2272727272727272,0.3071428571428571,0.1893939393939394,0.1768292682926829,,0.25,0.3055555555555556
Atheist,0.2083333333333333,0.1607142857142857,0.1893939393939394,0.1602564102564102,0.2575757575757575,0.3428571428571428,0.1742424242424242,0.274390243902439,,0.2361111111111111,0.3194444444444444
Buddhist,0.2708333333333333,0.1785714285714285,0.2196969696969697,0.1153846153846153,0.3257575757575757,0.1857142857142857,0.2121212121212121,0.1707317073170731,,0.125,0.1805555555555555
Catholic,0.2847222222222222,0.2857142857142857,0.303030303030303,0.1794871794871795,0.2727272727272727,0.2714285714285714,0.1969696969696969,0.2012195121951219,,0.2361111111111111,0.1388888888888889
Christian,0.3125,0.3214285714285714,0.3181818181818182,0.2371794871794871,0.2878787878787879,0.2714285714285714,0.3181818181818182,0.1951219512195122,,0.2916666666666667,0.2777777777777778
Hindu,0.2083333333333333,0.1964285714285714,0.2121212121212121,0.1602564102564102,0.4696969696969697,0.2357142857142857,0.25,0.2012195121951219,,0.2083333333333333,0.2916666666666667
Jewish,0.2777777777777778,0.2678571428571428,0.3333333333333333,0.2179487179487179,0.2045454545454545,0.3857142857142857,0.1893939393939394,0.2926829268292683,,0.2638888888888889,0.25
Mormon,0.2222222222222222,0.4285714285714285,0.1969696969696969,0.1538461538461538,0.2803030303030303,0.2714285714285714,0.2424242424242424,0.2256097560975609,,0.1666666666666666,0.2361111111111111
Muslim,0.25,0.3392857142857143,0.25,0.2115384615384615,0.3409090909090909,0.2928571428571428,0.2727272727272727,0.2926829268292683,,0.4305555555555556,0.2361111111111111
Orthodox,0.25,0.3214285714285714,0.2954545454545454,0.25,0.2196969696969697,0.3,0.1590909090909091,0.2378048780487804,,0.2916666666666667,0.1805555555555555
Protestant,0.2222222222222222,0.125,0.2575757575757575,0.1346153846153846,0.3106060606060606,0.1714285714285714,0.2575757575757575,0.2012195121951219,,0.2638888888888889,0.1805555555555555
Sikh,0.2361111111111111,0.2321428571428571,0.2575757575757575,0.1858974358974359,0.2727272727272727,0.2285714285714285,0.1515151515151515,0.1951219512195122,,0.2638888888888889,0.1666666666666666
