,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.1666666666666666,0.3571428571428571,-0.053030303030303,0.0064102564102564,-0.0757575757575757,0.05,-0.1287878787878787,0.0304878048780487,,0.0416666666666666,0.2361111111111111
Atheist,0.4027777777777778,0.1607142857142857,0.0833333333333333,-0.032051282051282,-0.1136363636363636,-0.0285714285714285,-0.1515151515151515,-0.024390243902439,,0.0277777777777777,-0.0277777777777777
Buddhist,0.1180555555555555,0.7321428571428571,-0.0075757575757575,-0.1602564102564102,-0.1439393939393939,0.0071428571428571,-0.1666666666666666,-0.0365853658536585,,0.1111111111111111,0.3472222222222222
Catholic,0.1319444444444444,-0.0892857142857142,0.4924242424242424,0.0384615384615384,-0.25,0.0857142857142857,-0.1136363636363636,-0.0304878048780487,,0.0277777777777777,0.0694444444444444
Christian,0.0694444444444444,0.25,0.1439393939393939,0.3333333333333333,-0.2803030303030303,-0.0214285714285714,-0.0681818181818181,0.073170731707317,,0.0555555555555555,0.0972222222222222
Hindu,0.0972222222222222,0.0892857142857142,-0.0454545454545454,0.0576923076923076,0.2727272727272727,0.0214285714285714,-0.1439393939393939,-0.0670731707317073,,0.0694444444444444,0.25
Jewish,-0.0555555555555555,0.1428571428571428,-0.0909090909090909,0.0384615384615384,-0.1666666666666666,0.3714285714285714,-0.0378787878787878,0.0548780487804878,,0.0277777777777777,0.0555555555555555
Mormon,0.0416666666666666,0.0357142857142857,0.0303030303030303,0.1666666666666666,-0.1742424242424242,0.0714285714285714,0.2121212121212121,0.0853658536585365,,-0.1388888888888889,0.0277777777777777
Muslim,0.0208333333333333,0.25,0.0227272727272727,-0.0512820512820512,-0.1212121212121212,0.0642857142857142,0.0075757575757575,0.1646341463414634,,-0.0694444444444444,0.0555555555555555
Protestant,0.0972222222222222,0.0535714285714285,-0.0454545454545454,0.282051282051282,-0.2272727272727272,0.0357142857142857,-0.0227272727272727,0.0426829268292682,,0.4027777777777778,0.0972222222222222
Sikh,0.2152777777777778,0.1071428571428571,0.0303030303030303,0.0705128205128205,-0.0454545454545454,-0.1142857142857142,-0.1742424242424242,0.0365853658536585,,0.1805555555555555,0.4305555555555556
