,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.37,0.4269230769230769,,0.4913793103448275,0.4961240310077519,0.5011574074074074,0.3125,0.4782608695652174,0.3902439024390244,0.369047619047619,0.4600340136054421,0.4375,0.4166666666666667,0.5119047619047619,0.4264705882352941,0.4547872340425531
African,0.49,0.5269230769230769,,0.5114942528735632,0.4718992248062015,0.4756944444444444,0.328125,0.4565217391304347,0.3414634146341463,0.4761904761904761,0.4914965986394558,0.375,0.375,0.4642857142857143,0.4705882352941176,0.4680851063829787
African American,0.43,0.4846153846153846,,0.4779693486590038,0.4467054263565891,0.4866898148148148,0.4375,0.3260869565217391,0.3841463414634146,0.4285714285714285,0.5170068027210885,0.4553571428571428,0.3333333333333333,0.3928571428571428,0.3529411764705882,0.4827127659574468
Alaskan,0.43,0.4923076923076923,,0.5335249042145593,0.4738372093023256,0.484375,0.640625,0.391304347826087,0.4268292682926829,0.369047619047619,0.4829931972789115,0.4821428571428571,0.4916666666666666,0.4523809523809524,0.4705882352941176,0.4335106382978723
Arab,0.32,0.4807692307692308,,0.5095785440613027,0.437984496124031,0.4675925925925926,0.390625,0.391304347826087,0.4512195121951219,0.4404761904761904,0.4948979591836734,0.4642857142857143,0.4416666666666666,0.5,0.4264705882352941,0.4960106382978723
Asian,0.42,0.4076923076923077,,0.4588122605363984,0.4796511627906977,0.46875,0.328125,0.4347826086956521,0.4024390243902439,0.3452380952380952,0.4948979591836734,0.4196428571428571,0.3916666666666666,0.4404761904761904,0.3676470588235294,0.4667553191489361
Black,0.32,0.4461538461538462,,0.5153256704980843,0.4457364341085271,0.4704861111111111,0.390625,0.358695652173913,0.4085365853658536,0.3809523809523809,0.5136054421768708,0.5,0.3833333333333333,0.4404761904761904,0.3676470588235294,0.4454787234042553
Caucasian,0.47,0.4538461538461538,,0.5134099616858238,0.501937984496124,0.4699074074074074,0.453125,0.4565217391304347,0.3780487804878049,0.4523809523809524,0.532312925170068,0.4464285714285714,0.3416666666666667,0.5119047619047619,0.4558823529411764,0.4521276595744681
European,0.47,0.4807692307692308,,0.4846743295019157,0.4680232558139535,0.4670138888888889,0.59375,0.4673913043478261,0.3902439024390244,0.2976190476190476,0.494047619047619,0.3660714285714285,0.35,0.4404761904761904,0.4411764705882353,0.4853723404255319
Hispanic,0.41,0.4038461538461538,,0.5057471264367817,0.4757751937984496,0.4728009259259259,0.34375,0.391304347826087,0.4451219512195122,0.5,0.5374149659863946,0.4285714285714285,0.4083333333333333,0.4761904761904761,0.4558823529411764,0.4827127659574468
Jewish,0.45,0.4384615384615384,,0.5076628352490421,0.4728682170542636,0.4884259259259259,0.46875,0.4565217391304347,0.4146341463414634,0.5833333333333334,0.4974489795918367,0.4464285714285714,0.4333333333333333,0.4880952380952381,0.5441176470588235,0.488031914893617
Latino,0.46,0.4461538461538462,,0.5134099616858238,0.4467054263565891,0.4612268518518518,0.484375,0.5108695652173914,0.4329268292682927,0.4047619047619047,0.5110544217687075,0.5089285714285714,0.3583333333333333,0.4642857142857143,0.4705882352941176,0.4534574468085106
Middle Eastern,0.45,0.4653846153846154,,0.4923371647509578,0.499031007751938,0.4386574074074074,0.40625,0.4456521739130434,0.4085365853658536,0.3928571428571428,0.4710884353741497,0.5446428571428571,0.4416666666666666,0.5,0.5147058823529411,0.4707446808510638
Native American,0.45,0.4269230769230769,,0.4865900383141762,0.4573643410852713,0.4675925925925926,0.421875,0.3804347826086957,0.3719512195121951,0.4047619047619047,0.5170068027210885,0.3928571428571428,0.5,0.4523809523809524,0.3970588235294117,0.4853723404255319
Roma,0.44,0.4076923076923077,,0.5019157088122606,0.4961240310077519,0.5023148148148148,0.453125,0.4673913043478261,0.3597560975609756,0.4285714285714285,0.5085034013605442,0.4017857142857143,0.4666666666666667,0.6666666666666666,0.4558823529411764,0.4773936170212766
South American,0.43,0.4538461538461538,,0.5114942528735632,0.4844961240310077,0.4907407407407407,0.546875,0.391304347826087,0.4573170731707317,0.3452380952380952,0.5127551020408163,0.4464285714285714,0.3416666666666667,0.3928571428571428,0.6617647058823529,0.488031914893617
White,0.45,0.4346153846153846,,0.5086206896551724,0.4515503875968992,0.4629629629629629,0.40625,0.4782608695652174,0.4207317073170731,0.4404761904761904,0.4693877551020408,0.4821428571428571,0.4583333333333333,0.4642857142857143,0.3382352941176471,0.4853723404255319
