,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.02,-0.0307692307692307,0.0134099616858237,0.0339147286821705,0.0017361111111111,0.046875,0.0434782608695652,0.0182926829268292,0.0,0.0153061224489795,0.0625,0.05,0.0714285714285714,-0.0441176470588235,0.0239361702127659
African,-0.01,-0.0076923076923076,0.0,0.0,0.0202546296296296,0.0,0.0108695652173913,0.0365853658536585,0.0714285714285714,0.0280612244897959,0.0267857142857142,0.0333333333333333,0.1071428571428571,-0.0735294117647058,-0.0013297872340425
African American,0.0,0.0038461538461538,0.0105363984674329,0.0116279069767441,0.0243055555555555,0.0625,0.0217391304347826,0.048780487804878,0.0357142857142857,0.0459183673469387,0.0089285714285714,0.0333333333333333,0.0714285714285714,0.0,0.026595744680851
Arab,0.01,-0.0192307692307692,0.018199233716475,0.0145348837209302,0.021412037037037,0.046875,0.0217391304347826,0.024390243902439,0.0357142857142857,0.0221088435374149,0.0267857142857142,0.0166666666666666,0.1071428571428571,-0.0294117647058823,0.0305851063829787
Asian,-0.02,-0.0038461538461538,0.0114942528735632,0.0145348837209302,0.0109953703703703,0.046875,0.0326086956521739,0.0365853658536585,-0.0119047619047619,0.0246598639455782,0.0089285714285714,0.025,0.0595238095238095,-0.0294117647058823,0.0199468085106383
Black,0.04,0.0038461538461538,0.0153256704980842,0.0116279069767441,0.0231481481481481,0.0,0.0217391304347826,0.0,0.0238095238095238,0.0195578231292517,0.0446428571428571,0.0166666666666666,0.0476190476190476,-0.0147058823529411,0.0013297872340425
Caucasian,-0.01,-0.0115384615384615,0.0268199233716475,0.0067829457364341,0.0219907407407407,0.0,-0.0543478260869565,0.0182926829268292,0.0119047619047619,0.0136054421768707,0.0267857142857142,0.025,0.0476190476190476,-0.0147058823529411,0.0425531914893617
European,-0.01,-0.023076923076923,0.0162835249042145,0.0271317829457364,0.0127314814814814,0.0625,0.0,0.0304878048780487,-0.0357142857142857,0.0221088435374149,0.0089285714285714,-0.0083333333333333,0.1309523809523809,-0.0441176470588235,0.0319148936170212
Hispanic,-0.04,0.0153846153846153,0.0316091954022988,-0.001937984496124,0.0173611111111111,0.046875,0.0326086956521739,-0.0182926829268292,0.0119047619047619,0.026360544217687,-0.0089285714285714,0.0166666666666666,0.0952380952380952,0.0294117647058823,0.0279255319148936
Jewish,0.02,0.0038461538461538,0.0220306513409961,0.0087209302325581,0.0028935185185185,0.0,-0.0217391304347826,0.024390243902439,0.0595238095238095,0.0221088435374149,0.0267857142857142,0.025,0.0952380952380952,-0.0441176470588235,0.0239361702127659
Latino,0.02,0.0,0.018199233716475,-0.0087209302325581,0.0046296296296296,0.0625,0.0108695652173913,0.0060975609756097,0.0,0.026360544217687,0.0625,-0.0083333333333333,0.1071428571428571,0.0,0.0212765957446808
Middle Eastern,0.02,-0.0153846153846153,0.0239463601532567,0.0096899224806201,0.0138888888888888,-0.03125,0.0,0.0182926829268292,0.0238095238095238,0.0238095238095238,0.0625,0.0333333333333333,0.0952380952380952,-0.0588235294117647,0.0345744680851063
Native American,0.02,-0.0153846153846153,0.0201149425287356,0.005813953488372,0.0179398148148148,0.046875,-0.0217391304347826,0.0121951219512195,0.0238095238095238,0.0204081632653061,0.0089285714285714,0.0333333333333333,0.1071428571428571,-0.0294117647058823,0.026595744680851
Roma,0.03,0.0038461538461538,0.0210727969348659,0.0087209302325581,0.0138888888888888,0.03125,-0.0108695652173913,0.0060975609756097,0.0,0.0187074829931972,0.0357142857142857,0.0416666666666666,0.1785714285714285,-0.0147058823529411,0.0292553191489361
South American,0.0,-0.0115384615384615,0.0277777777777777,0.0193798449612403,0.0196759259259259,-0.0625,0.0217391304347826,0.024390243902439,0.0476190476190476,0.0331632653061224,-0.0178571428571428,0.025,0.0952380952380952,0.0147058823529411,0.0292553191489361
White,0.04,0.0192307692307692,0.0201149425287356,0.0096899224806201,0.0138888888888888,0.09375,0.0326086956521739,-0.0182926829268292,0.0238095238095238,0.0255102040816326,0.0178571428571428,0.0,0.1071428571428571,-0.0294117647058823,0.026595744680851
