,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.8333333333333334,0.8392857142857143,0.9621212121212122,1.0320512820512822,0.946969696969697,0.6285714285714286,0.9393939393939394,0.7073170731707317,,0.8055555555555556,0.7083333333333334
Atheist,1.0416666666666667,0.8571428571428571,0.946969696969697,0.8974358974358975,0.9848484848484848,0.9357142857142856,0.9696969696969696,0.8414634146341463,,0.8194444444444444,0.9305555555555556
Buddhist,0.9861111111111112,1.4821428571428572,1.068181818181818,0.9487179487179488,0.9318181818181818,0.9571428571428572,1.0606060606060606,0.8170731707317073,,0.8055555555555556,0.9305555555555556
Catholic,0.9027777777777778,0.9285714285714286,1.2727272727272727,1.0961538461538465,1.0075757575757576,0.8928571428571429,1.0606060606060606,0.8719512195121951,,1.0833333333333333,0.9583333333333334
Christian,0.8263888888888888,1.1785714285714286,1.0303030303030305,0.9871794871794872,1.0075757575757576,0.9785714285714284,1.1742424242424243,0.8963414634146342,,0.7222222222222222,1.0277777777777777
Hindu,0.8611111111111112,1.0357142857142858,1.0833333333333333,0.9807692307692308,1.196969696969697,0.9928571428571428,0.9545454545454546,0.8048780487804879,,0.7916666666666666,0.9861111111111112
Jewish,0.9583333333333334,0.9642857142857144,1.0,0.9166666666666666,1.0378787878787878,1.1214285714285714,1.0151515151515151,0.8414634146341463,,0.8472222222222222,1.0555555555555556
Mormon,0.8680555555555556,1.0892857142857142,1.0757575757575757,1.0897435897435896,1.0833333333333333,1.0571428571428572,1.25,0.9085365853658536,,0.9722222222222222,1.0416666666666667
Muslim,0.875,1.1607142857142858,0.8863636363636364,0.903846153846154,1.0606060606060606,1.0142857142857142,1.0303030303030305,0.8902439024390244,,0.7916666666666666,0.9305555555555556
Orthodox,0.8611111111111112,1.0892857142857142,1.0833333333333333,1.064102564102564,1.1590909090909092,1.0357142857142858,1.0833333333333333,0.8841463414634146,,0.9861111111111112,0.9305555555555556
Protestant,0.9444444444444444,1.0535714285714286,1.0454545454545454,1.0769230769230769,1.0,1.0,1.0378787878787878,0.823170731707317,,1.1805555555555556,1.0555555555555556
Sikh,0.8888888888888888,1.1428571428571428,1.0,1.0192307692307692,1.0151515151515151,1.0,1.0,0.8353658536585366,,0.9305555555555556,1.0694444444444444
