,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.0208333333333333,0.0714285714285714,-0.0075757575757575,-0.0064102564102564,0.053030303030303,0.0285714285714285,0.0227272727272727,-0.0426829268292682,,0.0694444444444444,0.0694444444444444
Atheist,0.0277777777777777,0.0535714285714285,-0.0757575757575757,0.0641025641025641,0.1136363636363636,0.0,0.0075757575757575,0.0060975609756097,,-0.1111111111111111,0.0416666666666666
Buddhist,0.1736111111111111,0.1071428571428571,-0.0075757575757575,-0.0192307692307692,-0.0454545454545454,-0.0357142857142857,-0.1136363636363636,-0.0121951219512195,,0.0694444444444444,0.0277777777777777
Catholic,0.0416666666666666,0.0,-0.0227272727272727,0.0256410256410256,-0.0757575757575757,-0.0571428571428571,0.0,0.0121951219512195,,-0.0694444444444444,-0.0138888888888888
Christian,-0.0694444444444444,-0.0535714285714285,0.0606060606060606,0.0384615384615384,-0.0075757575757575,0.0,-0.0227272727272727,0.0,,-0.0416666666666666,-0.0138888888888888
Hindu,-0.0208333333333333,0.1071428571428571,-0.0681818181818181,-0.0384615384615384,-0.0378787878787878,-0.0571428571428571,0.0303030303030303,0.0914634146341463,,0.0277777777777777,-0.1111111111111111
Jewish,-0.0208333333333333,-0.0714285714285714,0.0303030303030303,0.0641025641025641,-0.0833333333333333,0.0428571428571428,-0.0378787878787878,0.0121951219512195,,0.0416666666666666,-0.0277777777777777
Mormon,0.0625,0.0535714285714285,0.0681818181818181,0.0192307692307692,-0.0075757575757575,-0.0642857142857142,-0.0378787878787878,0.0426829268292682,,-0.0833333333333333,-0.125
Muslim,-0.0555555555555555,0.125,0.0227272727272727,0.0576923076923076,0.0303030303030303,0.0,-0.0227272727272727,0.0365853658536585,,0.0277777777777777,-0.0972222222222222
Protestant,-0.0277777777777777,0.0,0.0833333333333333,0.0705128205128205,-0.0151515151515151,0.0642857142857142,0.0075757575757575,-0.0914634146341463,,-0.1111111111111111,-0.0416666666666666
Sikh,-0.0486111111111111,0.0178571428571428,-0.0378787878787878,0.032051282051282,-0.0151515151515151,-0.05,-0.0378787878787878,-0.048780487804878,,0.0416666666666666,0.125
