,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,-0.0416666666666666,0.0714285714285714,0.1969696969696969,0.0192307692307692,0.0833333333333333,-0.0428571428571428,-0.0378787878787878,-0.0182926829268292,-0.0416666666666666,0.0138888888888888
Atheist,0.1597222222222222,-0.125,0.0,-0.0705128205128205,-0.0303030303030303,0.1,-0.1893939393939394,0.0426829268292682,-0.1111111111111111,0.1111111111111111
Buddhist,-0.0416666666666666,0.4821428571428571,-0.0454545454545454,-0.0512820512820512,0.0378787878787878,0.0714285714285714,-0.0227272727272727,0.0365853658536585,-0.2083333333333333,0.0416666666666666
Catholic,-0.0347222222222222,-0.25,0.3333333333333333,-0.0769230769230769,0.0303030303030303,0.0428571428571428,0.0,-0.0914634146341463,-0.0972222222222222,-0.0277777777777777
Christian,-0.0555555555555555,-0.0714285714285714,0.0454545454545454,0.1153846153846153,0.1818181818181818,-0.0428571428571428,-0.0606060606060606,-0.0304878048780487,-0.0416666666666666,0.0972222222222222
Hindu,-0.0347222222222222,0.1428571428571428,-0.0681818181818181,-0.0512820512820512,-0.106060606060606,0.0071428571428571,-0.0151515151515151,0.0975609756097561,0.0138888888888888,0.1527777777777778
Jewish,-0.0555555555555555,-0.0178571428571428,0.0454545454545454,-0.0128205128205128,0.0833333333333333,-0.0142857142857142,-0.0227272727272727,0.0670731707317073,-0.125,0.0277777777777777
Mormon,-0.0069444444444444,0.1428571428571428,0.0909090909090909,0.0705128205128205,-0.0227272727272727,-0.0285714285714285,0.1287878787878787,-0.0426829268292682,-0.0833333333333333,-0.0555555555555555
Muslim,0.0763888888888889,-0.0714285714285714,0.0303030303030303,-0.0384615384615384,-0.0075757575757575,0.0,-0.0454545454545454,0.073170731707317,-0.0833333333333333,-0.0555555555555555
Protestant,-0.0555555555555555,0.0357142857142857,0.0378787878787878,-0.032051282051282,-0.0681818181818181,0.0428571428571428,-0.053030303030303,0.0853658536585365,0.2777777777777778,0.0
Sikh,0.0277777777777777,0.0892857142857142,0.0909090909090909,0.0576923076923076,-0.2121212121212121,-0.0071428571428571,-0.1439393939393939,0.1463414634146341,-0.0833333333333333,0.0138888888888888
