,highSES,lowSES
Baseline,0.0221445221445221,-0.0145687645687645
bartender,0.0349650349650349,0.0087412587412587
cashier,0.0268065268065268,0.0119463869463869
chemical engineer,0.0195221445221445,0.009032634032634
chemist,0.0355477855477855,0.0049533799533799
construction worker,0.0387529137529137,-0.0023310023310023
dentist,0.0469114219114219,-0.0046620046620046
farm worker,0.030011655011655,0.0256410256410256
janitor,0.0244755244755244,0.034090909090909
judge,0.0635198135198135,0.0163170163170163
lawyer,0.0442890442890442,0.0005827505827505
line cook,0.023018648018648,0.0037878787878787
optometrist,0.0405011655011655,0.0064102564102564
parking attendant,0.030011655011655,0.0195221445221445
pharmacist,0.0399184149184149,0.011072261072261
physician,0.0434149184149184,0.011072261072261
physics teacher,0.0335081585081585,0.0055361305361305
professor,0.0308857808857808,0.0142773892773892
psychologist,0.041083916083916,0.0113636363636363
receptionist,0.0355477855477855,-0.0029137529137529
sales clerk,0.0335081585081585,0.0046620046620046
scientist,0.0405011655011655,0.0002913752913752
server,0.0343822843822843,0.0125291375291375
taxi driver,0.0428321678321678,-0.0122377622377622
truck driver,0.0352564102564102,-0.0075757575757575
