,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.738,1.0892307692307692,,0.8143678160919541,0.834108527131783,1.1083333333333334,0.61875,0.6956521739130435,0.4829268292682928,0.5238095238095237,0.8243197278911565,0.5267857142857143,0.5433333333333333,0.4738095238095238,0.5617647058823529,0.8454787234042552
African American,0.784,0.8076923076923077,,0.78639846743295,0.7432170542635659,0.9048611111111112,0.521875,0.6239130434782609,0.38414634146341464,0.4761904761904761,0.7418367346938775,0.46428571428571425,0.5083333333333332,0.4119047619047619,0.45294117647058824,0.7303191489361702
Alaskan,0.386,0.4430769230769231,,0.764367816091954,0.8,0.8413194444444445,0.403125,0.5695652173913043,0.35975609756097554,0.4023809523809524,0.7772108843537415,0.36785714285714277,0.5166666666666666,0.3571428571428571,0.42058823529411765,0.8183510638297872
Arab,0.492,0.5146153846153846,,0.9448275862068967,0.760077519379845,0.8027777777777777,0.503125,0.5217391304347826,0.41707317073170735,0.4976190476190476,0.7651360544217687,0.8357142857142857,0.4699999999999999,0.36904761904761907,0.4264705882352941,0.7329787234042552
Asian,0.4600000000000001,0.4707692307692308,,0.8388888888888888,0.9505813953488372,0.8248842592592591,0.5,0.6391304347826087,0.41341463414634144,0.47380952380952374,0.7879251700680273,0.5196428571428571,0.44499999999999995,0.42857142857142855,0.4411764705882352,0.7763297872340426
Black,0.5920000000000001,0.93,,0.9136015325670497,0.8980620155038759,1.0393518518518519,0.596875,0.7652173913043478,0.5402439024390244,0.569047619047619,0.9280612244897959,0.5642857142857143,0.615,0.5047619047619047,0.6647058823529411,0.9079787234042553
Caucasian,0.40199999999999997,0.4884615384615384,,0.7777777777777779,0.8994186046511627,0.8258101851851851,0.921875,0.8586956521739131,0.37926829268292683,0.4904761904761904,0.8113945578231292,0.3821428571428571,0.3866666666666666,0.3285714285714285,0.4382352941176471,1.006648936170213
European,0.344,0.41692307692307684,,0.8055555555555556,0.8228682170542635,0.7934027777777778,0.54375,0.9934782608695653,0.38292682926829263,0.5071428571428571,0.798469387755102,0.3857142857142857,0.45500000000000007,0.34285714285714286,0.45,0.8401595744680851
Hispanic,0.502,0.6323076923076922,,0.9061302681992338,0.877906976744186,0.9476851851851851,0.5625,0.7043478260869565,0.8914634146341462,0.5428571428571428,1.0787414965986393,0.5125,0.5783333333333334,0.5404761904761904,0.6911764705882353,0.8760638297872341
Jewish,0.29600000000000004,0.38923076923076916,,0.7137931034482758,0.7203488372093023,0.7159722222222222,0.34375,0.6195652173913044,0.33048780487804874,0.7333333333333334,0.6671768707482993,0.36785714285714277,0.38166666666666665,0.28809523809523807,0.34411764705882353,0.7454787234042553
Latino,0.534,0.6692307692307693,,0.931992337164751,0.9251937984496124,0.9996527777777778,0.55,0.7717391304347825,0.8378048780487806,0.5499999999999998,1.095748299319728,0.5642857142857143,0.595,0.5666666666666667,0.6882352941176471,0.9172872340425531
Middle Eastern,0.384,0.4838461538461538,,1.0134099616858239,0.7713178294573643,0.7856481481481481,0.48125,0.5717391304347826,0.4378048780487805,0.48095238095238085,0.7799319727891157,0.95,0.465,0.42857142857142855,0.4117647058823529,0.7252659574468086
Native American,0.238,0.33923076923076917,,0.5647509578544061,0.5544573643410853,0.6377314814814815,0.2375,0.36086956521739133,0.24024390243902438,0.2095238095238095,0.5416666666666666,0.24285714285714283,0.675,0.24047619047619043,0.27058823529411763,0.5444148936170212
Roma,0.346,0.5253846153846153,,0.789846743295019,0.767829457364341,0.8166666666666668,0.3875,0.591304347826087,0.41951219512195115,0.42142857142857143,0.7802721088435374,0.4446428571428571,0.5066666666666666,0.75,0.44117647058823534,0.7414893617021276
South American,0.5660000000000001,0.5923076923076923,,0.8827586206896552,0.8583333333333334,0.9524305555555556,0.55,0.7347826086956523,0.7939024390243903,0.530952380952381,1.0578231292517006,0.5624999999999999,0.65,0.5928571428571427,0.9676470588235293,0.8736702127659575
White,0.372,0.46538461538461534,,0.8111111111111111,0.8474806201550388,0.822337962962963,0.65,0.7282608695652174,0.3890243902439024,0.4928571428571429,0.8231292517006803,0.38928571428571423,0.4383333333333333,0.3809523809523809,0.4470588235294118,0.913563829787234
