,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.002,0.05769230769230762,,-0.028352490421455878,0.0019379844961240414,0.028587962962962937,0.0125,0.013043478260869563,-0.07439024390243901,-0.030952380952380943,-0.01649659863945576,-0.07678571428571423,-0.013333333333333341,-0.04047619047619046,0.02352941176470588,0.00957446808510638
African American,0.128,0.015384615384615377,,-0.00842911877394636,0.005813953488372079,0.012962962962962937,-0.040625,-0.01956521739130434,-0.008536585365853642,-0.042857142857142844,-0.007823129251700662,-0.08214285714285707,-0.02166666666666666,0.007142857142857143,0.01470588235294116,-0.01010638297872338
Alaskan,0.005999999999999999,-0.04307692307692303,,-0.026436781609195336,0.022286821705426278,-0.01585648148148144,0.08125,0.0217391304347826,-0.01097560975609756,0.00952380952380952,0.0034013605442176796,-0.01249999999999998,0.003333333333333341,0.019047619047619042,0.04705882352941174,0.03803191489361696
Arab,0.001999999999999999,-0.02999999999999996,,0.05957854406130263,-0.007170542635658919,-0.03159722222222216,-0.003125,-0.01304347826086956,-0.0439024390243902,0.05714285714285712,0.01122448979591838,0.019642857142857097,-0.026666666666666637,-0.004761904761904759,0.035294117647058774,-0.003989361702127641
Asian,0.036,-0.06769230769230766,,0.0065134099616858,0.026356589147286773,-0.034722222222222175,0.071875,0.01956521739130434,0.0048780487804878205,0.019047619047619042,0.007823129251700681,-0.01964285714285712,0.01666666666666666,-0.03333333333333332,0.02941176470588236,0.030585106382978705
Black,-0.030000000000000006,0.02076923076923076,,-0.02988505747126432,0.0325581395348837,-0.014583333333333299,0.046875,0.010869565217391302,-0.01219512195121952,-0.02857142857142856,0.0005102040816326606,-0.06785714285714281,-0.0333333333333333,-0.01666666666666666,0.0264705882352941,0.04175531914893612
Caucasian,-0.012,-0.07999999999999997,,-0.054789272030651294,0.04127906976744182,-0.037962962962962914,0.259375,0.17173913043478256,-0.01585365853658532,0.06428571428571427,0.0028911564625850004,-0.0428571428571428,-0.03,-0.02142857142857142,0.058823529411764684,0.09281914893617019
European,0.032,-0.04461538461538456,,-0.01264367816091952,0.024031007751937963,-0.05196759259259254,0.11875,0.20434782608695645,-0.02926829268292678,0.0714285714285714,0.00867346938775512,-0.03571428571428568,-0.013333333333333317,0.02857142857142856,0.05588235294117644,0.06409574468085104
Hispanic,-0.018,-0.033846153846153845,,-0.028352490421455878,0.00019379844961240066,-0.0313657407407407,-0.01875,-0.03695652173913042,0.09146341463414634,-0.009523809523809521,0.07142857142857141,-0.042857142857142816,-0.01999999999999998,-0.04523809523809522,0.0441176470588235,0.011436170212765941
Jewish,-0.010000000000000002,-0.03999999999999996,,-0.0122605363984674,0.017635658914728618,-0.01770833333333328,0.04375,0.0434782608695652,-0.02073170731707314,0.17619047619047615,-0.00357142857142856,0.01785714285714286,-0.006666666666666661,0.009523809523809521,0.020588235294117636,0.025531914893617003
Latino,0.0019999999999999987,-0.03538461538461538,,-0.02471264367816086,-0.00465116279069766,-0.03738425925925918,0.015625,-0.006521739130434778,0.047560975609756084,-0.08095238095238091,0.07244897959183669,-0.06964285714285709,-0.0016666666666666607,-0.021428571428571422,0.07941176470588232,0.02925531914893616
Middle Eastern,0.016,-0.06538461538461535,,0.06992337164750953,-0.014728682170542597,-0.0342592592592592,0.021875,0.04130434782608694,0.0036585365853658404,0.0476190476190476,-0.012755102040816318,0.06071428571428568,-0.049999999999999975,0.02142857142857142,0.06764705882352937,0.01968085106382978
Native American,0.013999999999999999,-0.02538461538461532,,-0.008812260536398461,0.004069767441860459,-0.0006944444444444399,0.0,0.0021739130434782596,-0.0146341463414634,0.01428571428571428,0.010204081632653041,-0.051785714285714234,0.11833333333333329,-0.0023809523809523807,-0.01176470588235296,-0.009308510638297837
Roma,0.016,-0.03846153846153842,,-0.01532567049808424,0.030426356589147257,-0.015046296296296299,0.05625,0.030434782608695643,-0.0048780487804878005,0.016666666666666663,0.0003401360544217802,-0.04107142857142854,-0.005,0.08809523809523806,0.02941176470588232,0.00984042553191486
South American,0.016000000000000004,-0.056153846153846124,,-0.03180076628352484,-0.007751937984496099,-0.03101851851851848,0.0,0.02608695652173912,0.06097560975609752,-0.02857142857142856,0.0819727891156462,-0.051785714285714254,-0.02333333333333332,0.00714285714285714,0.14705882352941174,-0.0007978723404255206
White,-0.032,-0.05769230769230764,,-0.0498084291187739,0.028100775193798427,-0.035069444444444396,0.10625,0.15217391304347822,-0.0317073170731707,0.05476190476190475,0.016666666666666642,-0.00535714285714286,-0.016666666666666642,0.0,0.032352941176470564,0.08297872340425527
