,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.05600000000000001,0.11692307692307691,,0.01455938697318004,0.0217054263565891,0.0475694444444444,0.01875,0.03913043478260868,0.0317073170731707,0.04523809523809522,0.01853741496598634,0.00714285714285712,0.04166666666666662,0.030952380952380936,0.023529411764705837,0.022872340425531882
African American,0.082,0.08076923076923073,,0.0147509578544061,0.02499999999999998,0.039120370370370305,0.0125,0.04565217391304346,0.023170731707317017,0.021428571428571425,0.022959183673469337,0.014285714285714263,0.03499999999999996,0.04523809523809522,0.03823529411764702,0.024468085106382938
Alaskan,0.030000000000000006,0.04692307692307688,,0.012643678160919481,0.02499999999999996,0.03240740740740736,0.03125,0.04565217391304346,0.02073170731707314,0.06904761904761902,0.021088435374149596,0.01428571428571424,0.0633333333333333,0.02619047619047618,0.01176470588235288,0.03138297872340424
Arab,0.054000000000000006,0.043846153846153826,,0.02432950191570874,0.02635658914728678,0.03587962962962958,0.025,0.04130434782608694,0.021951219512195082,0.0595238095238095,0.02568027210884352,0.046428571428571375,0.04333333333333329,0.04523809523809522,0.02647058823529408,0.02765957446808508
Asian,0.046,0.05307692307692304,,0.020498084291187678,0.0286821705426356,0.031597222222222165,0.05,0.0652173913043478,0.031707317073170684,0.05714285714285712,0.02636054421768702,0.024999999999999977,0.03666666666666662,0.02857142857142856,0.02647058823529408,0.02234042553191484
Black,0.05,0.0761538461538461,,0.01609195402298846,0.029069767441860416,0.042361111111111044,0.021875,0.04999999999999998,0.03292682926829262,0.030952380952380936,0.02193877551020404,0.014285714285714258,0.0533333333333333,0.0476190476190476,0.026470588235294062,0.02420212765957442
Caucasian,0.046,0.04461538461538456,,0.0212643678160919,0.03585271317829452,0.03946759259259254,0.09375,0.08260869565217388,0.0414634146341463,0.06428571428571427,0.02772108843537412,0.028571428571428536,0.058333333333333307,0.028571428571428564,0.02352941176470582,0.047340425531914844
European,0.052000000000000005,0.04769230769230766,,0.017816091954022922,0.023255813953488316,0.02916666666666664,0.0625,0.09565217391304344,0.03292682926829264,0.05476190476190475,0.02517006802721084,0.030357142857142815,0.04833333333333332,0.03333333333333332,0.0441176470588235,0.02898936170212758
Hispanic,0.032,0.05769230769230764,,0.01704980842911872,0.023643410852713136,0.03530092592592588,0.025,0.030434782608695636,0.053658536585365825,0.04047619047619046,0.031802721088435314,0.01071428571428568,0.041666666666666616,0.030952380952380943,0.03823529411764702,0.025797872340425482
Jewish,0.042,0.052307692307692256,,0.0204980842911877,0.029069767441860423,0.031249999999999962,0.034375,0.04565217391304346,0.03170731707317066,0.054761904761904734,0.02636054421768702,0.01607142857142854,0.04666666666666664,0.038095238095238085,0.04117647058823526,0.03297872340425528
Latino,0.028000000000000004,0.05769230769230764,,0.01628352490421452,0.02383720930232552,0.03553240740740738,0.034375,0.03695652173913042,0.0365853658536585,0.0238095238095238,0.0319727891156462,0.017857142857142818,0.03499999999999998,0.0357142857142857,0.04705882352941172,0.03271276595744678
Middle Eastern,0.042,0.05307692307692304,,0.02471264367816088,0.0218992248062015,0.03344907407407402,0.046875,0.030434782608695643,0.014634146341463362,0.04999999999999998,0.022789115646258462,0.07499999999999996,0.03999999999999996,0.038095238095238085,0.020588235294117598,0.02313829787234038
Native American,0.019999999999999997,0.045384615384615364,,0.01743295019157086,0.02170542635658908,0.03379629629629624,0.025,0.028260869565217384,0.025609756097560922,0.0238095238095238,0.024149659863945523,0.01607142857142854,0.08666666666666664,0.04047619047619046,0.03235294117647054,0.023670212765957422
Roma,0.026000000000000002,0.04538461538461534,,0.017816091954022915,0.027713178294573614,0.0319444444444444,0.0375,0.04782608695652172,0.030487804878048717,0.0476190476190476,0.028911564625850306,0.0089285714285714,0.05166666666666662,0.0595238095238095,0.03235294117647054,0.02313829787234038
South American,0.027999999999999997,0.05307692307692304,,0.01877394636015322,0.02286821705426352,0.03159722222222216,0.034375,0.03478260869565216,0.04024390243902434,0.04047619047619046,0.03401360544217682,0.0178571428571428,0.04833333333333328,0.05476190476190475,0.06470588235294114,0.02180851063829782
White,0.041999999999999996,0.047692307692307645,,0.01226053639846736,0.02538759689922474,0.03275462962962958,0.065625,0.07391304347826085,0.02682926829268286,0.06904761904761902,0.02585034013605436,0.028571428571428536,0.04499999999999997,0.04523809523809522,0.03823529411764702,0.035904255319148905
