,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.019999999999999997,0.00769230769230766,,-0.0003831417624520999,0.0069767441860464794,0.00868055555555552,-0.00625,0.03478260869565216,0.009756097560975601,0.030952380952380943,0.00459183673469384,-0.00714285714285712,-0.00166666666666666,-0.0023809523809523803,0.0,0.01063829787234038
African American,0.018000000000000002,0.00538461538461538,,0.0036398467432949603,0.006395348837209219,0.0046296296296296,0.0125,0.028260869565217384,0.008536585365853621,0.00714285714285714,0.0035714285714285197,0.0,-0.0083333333333333,0.00714285714285714,-0.01470588235294118,0.00691489361702124
Alaskan,0.002,-0.006923076923076919,,-0.0022988505747126202,0.007170542635658859,-0.0046296296296296,0.0,0.015217391304347822,0.0036585365853658404,0.016666666666666656,-0.0006802721088435199,-0.010714285714285681,-0.00333333333333332,-0.0119047619047619,-0.00588235294117644,0.00638297872340422
Arab,0.013999999999999999,-0.009999999999999959,,0.006321839080459721,0.010077519379844918,-0.00324074074074072,0.0,0.028260869565217377,0.0024390243902439003,0.021428571428571422,0.006972789115646199,0.00357142857142856,-0.00333333333333332,0.0023809523809523807,-0.00294117647058822,0.012234042553191441
Asian,0.0019999999999999996,-0.00846153846153844,,0.00440613026819922,0.00697674418604646,-0.00266203703703702,0.00625,0.030434782608695636,0.0024390243902438795,0.01428571428571428,0.00459183673469386,-0.01071428571428568,-0.006666666666666659,0.004761904761904761,-0.008823529411764699,0.007446808510638279
Black,0.022,0.011538461538461501,,0.005363984674329481,0.01085271317829454,0.00555555555555552,-0.003125,0.028260869565217377,0.01097560975609754,0.01666666666666666,0.0079931972789115,0.00357142857142856,0.006666666666666659,0.0,-0.00294117647058822,0.009308510638297839
Caucasian,0.01,-0.01538461538461534,,-0.00249042145593868,0.00096899224806202,-0.00983796296296294,0.01875,0.03913043478260868,0.007317073170731702,0.0119047619047619,-0.00527210884353738,-0.00714285714285712,0.0016666666666666594,0.004761904761904761,-0.01764705882352936,0.00425531914893614
European,0.02,-0.013846153846153819,,-0.0024904214559386796,-0.00038759689922481997,-0.0092592592592592,0.00625,0.05217391304347824,-0.0036585365853658604,0.02619047619047618,-0.0034013605442176796,-0.012499999999999959,-0.00166666666666666,-0.004761904761904761,-0.020588235294117598,0.00398936170212764
Hispanic,0.012,-0.00538461538461538,,0.00249042145593868,0.00503875968992242,-0.00011574074074074,-0.00625,0.0217391304347826,0.029268292682926782,-0.0023809523809523803,0.00595238095238094,-0.00357142857142856,0.00166666666666666,-0.0023809523809523794,-0.002941176470588219,0.00930851063829784
Jewish,-0.002,-0.00769230769230766,,-0.0032567049808428805,0.00465116279069764,-0.00324074074074072,0.009375,0.0108695652173913,0.0024390243902438803,0.030952380952380943,-0.00153061224489794,0.00178571428571428,-0.00333333333333334,-0.0238095238095238,-0.00588235294117646,0.00638297872340422
Latino,0.012,-0.005384615384615379,,0.0005747126436781599,0.0079457364341085,-0.00034722222222221985,0.003125,0.028260869565217384,-2.0122792321330962e-17,0.0,0.00884353741496598,0.00357142857142856,-0.004999999999999999,-0.00714285714285714,-0.01764705882352936,0.013031914893616978
Middle Eastern,0.014000000000000002,-0.01461538461538458,,0.0047892720306513,0.007558139534883701,-0.0005787037037036998,0.003125,0.01739130434782608,0.00487804878048778,0.01666666666666666,0.00578231292517002,-0.0035714285714285796,0.0,-0.004761904761904761,-0.00294117647058822,0.0061170212765957
Native American,0.003999999999999999,-0.00076923076923076,,-0.0028735632183907803,0.0003875968992248199,-0.00185185185185184,0.00625,0.00652173913043478,0.00609756097560976,0.01428571428571428,0.00510204081632648,0.00178571428571428,0.019999999999999983,0.011904761904761899,-0.00882352941176472,0.0045212765957446405
Roma,-0.002,-0.00999999999999994,,0.0021072796934865595,0.0060077519379844796,-0.00162037037037036,0.0,0.01739130434782608,0.00609756097560976,-6.938893903907229e-19,0.007142857142857099,-0.00178571428571428,-0.008333333333333321,0.0071428571428571366,-0.00882352941176468,0.0082446808510638
South American,0.004,-0.006923076923076879,,0.0007662835249041801,0.0081395348837209,-0.00150462962962962,-0.003125,0.030434782608695636,0.006097560975609741,0.01666666666666666,0.006122448979591821,-0.00357142857142856,-0.005,0.0023809523809523803,0.01764705882352938,0.008510638297872321
White,0.013999999999999999,-0.012307692307692238,,-0.00229885057471264,0.00368217054263562,-0.0100694444444444,0.015625,0.030434782608695643,0.0024390243902438803,0.0119047619047619,0.00238095238095236,-0.00714285714285712,0.00166666666666666,-0.021428571428571422,-0.020588235294117598,0.00824468085106378
