Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
African,0.00674701772154816,0.014308883357967539,-0.00418604651162792,0.00343023255813956,0.4169186046511627,0.8733720930232558
African American,0.010453425339010298,0.02146460095144508,-0.014186046511627881,0.0018023255813953399,0.4928488372093023,0.8612790697674418
Alaskan,0.008981030437552582,0.019452912272139723,-0.03337209302325578,0.027267441860465064,0.506453488372093,0.8764534883720929
Arab,0.01747718480765258,0.03388591030832118,-0.01686046511627906,0.011162790697674379,0.496860465116279,0.8568023255813954
Asian,0.01526571779964544,0.02907217502313632,-0.03209302325581396,0.029476744186046483,0.48284883720930233,0.8645348837209303
Black,0.00999150019919506,0.01703797452810426,0.028837209302325518,0.02529069767441854,0.3971511627906976,0.871860465116279
Caucasian,0.017240948385229018,0.032232167392365244,-0.033604651162790655,0.045465116279069746,0.4734883720930232,0.8568023255813954
European,0.01494617397822566,0.029355293211083062,-0.04523255813953484,0.03441860465116274,0.4996511627906977,0.8715697674418605
Hispanic,0.0132060830213794,0.02154118403971874,-0.007790697674418601,0.005174418604651161,0.40470930232558133,0.8819186046511629
Jewish,0.0104083912033489,0.0221428728429687,-0.05593023255813949,0.00999999999999994,0.5609302325581396,0.8394767441860465
Latino,0.012549626857301882,0.0206145300035101,-0.00023255813953485942,0.02296511627906974,0.3818023255813953,0.8836046511627906
Middle Eastern,0.01259937144723976,0.026157108361995095,-0.019186046511627836,0.02226744186046506,0.4902906976744186,0.857732558139535
Native American,0.00787422418512344,0.02154208291727264,-0.0917441860465116,0.0016279069767441798,0.6439534883720931,0.7992441860465116
Roma,0.01287764286050862,0.02616011463803538,-0.019651162790697622,0.0159302325581395,0.5095348837209303,0.8630813953488371
South American,0.01305227296583782,0.02313876189733216,-0.010348837209302297,0.01191860465116276,0.40901162790697676,0.8742441860465118
White,0.016724460081014404,0.03168105495244302,-0.03941860465116276,0.03174418604651158,0.48372093023255813,0.8730813953488372
