,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.02,-0.0038461538461538464,,-0.0019157088122605363,0.005813953488372093,0.0028935185185185184,0.0,0.043478260869565216,0.012195121951219513,0.023809523809523808,0.0,-0.008928571428571428,0.0,0.011904761904761904,0.0,0.003989361702127659
African American,0.01,0.007692307692307693,,0.005747126436781609,0.0048449612403100775,-0.003472222222222222,0.015625,0.03260869565217391,0.018292682926829267,0.011904761904761904,0.006802721088435374,0.008928571428571428,0.0,-0.023809523809523808,0.0,0.005319148936170213
Alaskan,0.0,-0.026923076923076925,,-0.01053639846743295,0.005813953488372093,-0.001736111111111111,-0.015625,0.0,0.0,0.03571428571428571,-0.003401360544217687,-0.008928571428571428,0.008333333333333333,0.023809523809523808,-0.014705882352941176,0.010638297872340425
Arab,-0.01,-0.011538461538461539,,0.0028735632183908046,0.0009689922480620155,-0.011574074074074073,0.0,0.021739130434782608,-0.006097560975609756,0.0,0.0017006802721088435,-0.008928571428571428,-0.008333333333333333,-0.011904761904761904,-0.014705882352941176,0.003989361702127659
Asian,0.03,-0.026923076923076925,,0.0,0.0009689922480620155,-0.006944444444444444,0.015625,0.03260869565217391,0.006097560975609756,-0.011904761904761904,0.008503401360544218,0.0,0.008333333333333333,0.023809523809523808,-0.029411764705882353,-0.003989361702127659
Black,0.01,0.019230769230769232,,0.005747126436781609,0.014534883720930232,0.007523148148148148,0.015625,0.05434782608695652,-0.012195121951219513,0.011904761904761904,0.01020408163265306,-0.008928571428571428,-0.008333333333333333,-0.023809523809523808,0.0,0.007978723404255319
Caucasian,-0.01,-0.015384615384615385,,-0.0028735632183908046,-0.0029069767441860465,-0.019675925925925927,0.0,0.06521739130434782,-0.006097560975609756,0.011904761904761904,-0.012755102040816327,-0.017857142857142856,0.016666666666666666,0.0,0.0,0.003989361702127659
European,0.04,-0.0038461538461538464,,0.0,-0.006782945736434108,-0.012152777777777778,0.03125,0.07608695652173914,0.018292682926829267,-0.011904761904761904,-0.02295918367346939,-0.008928571428571428,0.0,0.011904761904761904,-0.029411764705882353,-0.0026595744680851063
Hispanic,-0.01,-0.007692307692307693,,-0.0019157088122605363,0.0029069767441860465,0.0,0.0,0.03260869565217391,0.024390243902439025,-0.011904761904761904,0.006802721088435374,0.0,0.0,0.0,-0.014705882352941176,0.013297872340425532
Jewish,-0.02,-0.019230769230769232,,-0.0038314176245210726,-0.0009689922480620155,-0.005208333333333333,0.0,0.010869565217391304,0.006097560975609756,0.0,-0.00510204081632653,0.008928571428571428,-0.016666666666666666,-0.023809523809523808,-0.014705882352941176,0.0013297872340425532
Latino,0.01,0.0038461538461538464,,-0.0019157088122605363,0.006782945736434108,-0.006944444444444444,0.015625,0.03260869565217391,0.006097560975609756,0.011904761904761904,-0.003401360544217687,0.0,0.016666666666666666,0.0,-0.029411764705882353,0.011968085106382979
Middle Eastern,0.02,-0.019230769230769232,,0.0009578544061302681,0.006782945736434108,-0.004050925925925926,-0.03125,0.010869565217391304,0.0,0.03571428571428571,0.002551020408163265,-0.008928571428571428,0.016666666666666666,0.0,-0.014705882352941176,0.005319148936170213
Native American,0.0,0.0,,-0.0019157088122605363,0.0009689922480620155,-0.0028935185185185184,0.0,0.03260869565217391,0.0,0.03571428571428571,0.005952380952380952,0.017857142857142856,0.008333333333333333,0.0,0.029411764705882353,-0.009308510638297872
Roma,0.0,-0.015384615384615385,,-0.0019157088122605363,0.00872093023255814,0.0028935185185185184,0.0,0.0,0.024390243902439025,0.0,0.0,-0.008928571428571428,0.008333333333333333,-0.011904761904761904,-0.014705882352941176,0.0026595744680851063
South American,0.01,-0.0038461538461538464,,-0.007662835249042145,0.0029069767441860465,-0.004629629629629629,-0.03125,0.03260869565217391,0.0,0.03571428571428571,0.0017006802721088435,-0.008928571428571428,-0.008333333333333333,0.011904761904761904,0.04411764705882353,0.0026595744680851063
White,0.01,-0.011538461538461539,,0.0009578544061302681,0.0048449612403100775,-0.015625,0.03125,0.010869565217391304,0.018292682926829267,-0.023809523809523808,0.0017006802721088435,-0.017857142857142856,-0.008333333333333333,-0.03571428571428571,-0.058823529411764705,0.006648936170212766
