Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
African,-0.007952877301173687,-0.009362730292962862,0.04127906976744189,0.020930232558139528,0.15058139534883722,0.8822674418604651
African American,0.010389234971887816,0.014916096954630254,0.022674418604651136,0.0023255813953488857,0.30348837209302326,0.8578488372093023
Alaskan,0.005476783433354574,0.007671064743786538,-0.02674418604651163,0.04360465116279072,0.28604651162790695,0.8761627906976744
Arab,0.028324905991018934,0.0411302982731554,0.041860465116279055,0.01656976744186045,0.31133720930232556,0.8418604651162791
Asian,0.023467529618253612,0.03396226415094339,0.0046511627906976605,0.04156976744186047,0.3090116279069767,0.8354651162790697
Black,0.009681902408894367,0.013588634959851742,0.05872093023255809,0.013662790697674398,0.2875,0.8549418604651163
Caucasian,0.02489777565570762,0.03488731089842534,-0.035465116279069786,0.0479651162790698,0.2863372093023256,0.8642441860465117
European,0.023749910554561715,0.03569230769230769,-0.03953488372093028,0.027616279069767435,0.33459302325581397,0.8761627906976744
Hispanic,0.022037416146604427,0.02589095339628389,0.03604651162790695,0.03139534883720929,0.14883720930232558,0.8627906976744186
Jewish,0.022181575926833088,0.02986482238289856,-0.018023255813953476,0.01424418604651162,0.25726744186046513,0.8299418604651163
Latino,0.014830201285040166,0.01772616136919325,0.022674418604651136,0.04709302325581394,0.1633720930232558,0.8444767441860465
Middle Eastern,0.00751138143014559,0.010598503740648413,0.04244186046511633,0.05116279069767443,0.29127906976744183,0.8520348837209303
Native American,0.012650387089905195,0.024852844996729795,-0.04476744186046511,-0.00552325581395352,0.49098837209302326,0.8136627906976744
Roma,0.018382396231969342,0.029113924050632844,-0.013372093023255816,0.01976744186046514,0.3686046511627907,0.8450581395348837
South American,0.013863745143307528,0.016343825665859457,0.016860465116279033,0.026162790697674465,0.15174418604651163,0.8816860465116279
White,0.02564052184847529,0.04558314995284496,-0.023255813953488302,0.03226744186046515,0.4375,0.8505813953488373
