,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.21666666666666665,0.16071428571428567,0.22272727272727272,0.18076923076923074,0.309090909090909,0.10999999999999995,0.29242424242424236,0.15365853658536582,,0.25,0.18055555555555552
Buddhist,0.17916666666666664,0.35,0.22727272727272724,0.14615384615384613,0.2712121212121212,0.0771428571428571,0.2651515151515151,0.12682926829268287,,0.20277777777777778,0.1444444444444444
Catholic,0.5013888888888889,0.525,0.6333333333333333,0.4935897435897436,0.5621212121212121,0.27999999999999997,0.5636363636363637,0.3719512195121951,,0.5027777777777778,0.4
Christian,0.4736111111111111,0.5035714285714286,0.5803030303030303,0.5256410256410257,0.5742424242424242,0.27428571428571424,0.5742424242424243,0.36219512195121945,,0.48611111111111105,0.3861111111111111
Hindu,0.4527777777777778,0.46785714285714286,0.4893939393939394,0.3692307692307692,0.6833333333333333,0.27714285714285714,0.5227272727272727,0.37317073170731707,,0.4027777777777778,0.33611111111111114
Jewish,0.4111111111111111,0.41428571428571426,0.44696969696969696,0.3217948717948717,0.4984848484848484,0.3628571428571428,0.4924242424242424,0.3073170731707317,,0.3916666666666667,0.35277777777777775
Mormon,0.4763888888888889,0.4321428571428571,0.4712121212121212,0.4256410256410256,0.543939393939394,0.2471428571428571,0.6439393939393939,0.32560975609756093,,0.44722222222222224,0.3611111111111111
Muslim,0.39305555555555555,0.3678571428571428,0.41515151515151516,0.3487179487179487,0.546969696969697,0.2585714285714285,0.47727272727272735,0.41341463414634144,,0.38888888888888895,0.35
Orthodox,0.5583333333333333,0.5642857142857143,0.5318181818181819,0.46025641025641023,0.5833333333333333,0.3757142857142857,0.593939393939394,0.4036585365853658,,0.47777777777777775,0.4138888888888889
Protestant,0.5138888888888888,0.5071428571428571,0.5242424242424242,0.5628205128205128,0.593939393939394,0.3142857142857142,0.5969696969696969,0.41829268292682925,,0.5416666666666667,0.44722222222222224
Sikh,0.3819444444444445,0.35357142857142854,0.42878787878787883,0.29999999999999993,0.46818181818181814,0.20857142857142855,0.4712121212121213,0.2841463414634146,,0.34444444444444444,0.4611111111111111
