,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.0333333333333333,0.01428571428571426,0.02727272727272726,-0.007692307692307679,-0.0439393939393939,-0.00428571428571426,-0.03636363636363634,-0.0012195121951219603,,0.033333333333333263,0.013888888888888859
Buddhist,-0.002777777777777761,0.024999999999999977,0.0106060606060606,-0.003846153846153838,-0.02121212121212118,-0.009999999999999962,-0.053030303030303,0.01097560975609752,,0.05277777777777772,0.05277777777777772
Catholic,0.004166666666666659,0.024999999999999977,0.05151515151515146,0.02820512820512816,-0.0515151515151515,6.938893903907229e-19,-0.04696969696969694,-0.01463414634146338,,0.00555555555555554,0.02499999999999998
Christian,0.00416666666666664,0.03571428571428568,0.01515151515151512,0.0333333333333333,-0.0454545454545454,-0.0014285714285714,-0.04545454545454543,-0.013414634146341439,,0.0222222222222222,0.041666666666666644
Hindu,0.0027777777777777805,0.04642857142857136,0.042424242424242406,0.006410256410256399,-0.030303030303030276,-0.027142857142857087,-0.037878787878787824,-0.00609756097560976,,0.03611111111111108,0.02222222222222216
Jewish,0.0027777777777777597,0.04285714285714282,0.025757575757575722,-0.0051282051282051195,-0.03787878787878781,0.01,-0.04090909090909085,-0.00609756097560976,,0.036111111111111045,0.027777777777777717
Mormon,0.009722222222222219,0.024999999999999977,0.00303030303030302,-0.0038461538461538403,-0.033333333333333305,-0.0014285714285714201,-0.012121212121212161,-0.008536585365853621,,0.030555555555555523,0.03888888888888882
Muslim,0.019444444444444462,0.00714285714285714,0.0227272727272727,0.00897435897435896,-0.06969696969696963,3.95516952522712e-17,-0.04545454545454538,0.025609756097560936,,0.041666666666666644,0.005555555555555519
Orthodox,0.006944444444444459,0.046428571428571395,0.024242424242424218,0.016666666666666642,-0.06060606060606057,0.00999999999999996,-0.05909090909090905,-0.008536585365853621,,0.03888888888888882,0.04999999999999994
Protestant,-2.0816681711721685e-17,0.01785714285714282,0.0318181818181818,0.03205128205128201,-0.04999999999999994,0.00285714285714286,-0.0439393939393939,-0.02195121951219512,,0.06111111111111106,0.013888888888888857
Sikh,0.005555555555555561,0.0035714285714285796,0.02121212121212118,0.0025641025641025606,-0.04242424242424238,-0.0028571428571428593,-0.05151515151515146,-0.00365853658536588,,0.05833333333333328,0.06944444444444439
