,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.13194444444444445,0.05357142857142857,0.022727272727272728,0.038461538461538464,0.07575757575757576,0.02142857142857143,0.09848484848484848,0.018292682926829267,,0.027777777777777776,0.027777777777777776
Buddhist,0.027777777777777776,0.05357142857142857,0.030303030303030304,0.03205128205128205,0.05303030303030303,0.02142857142857143,0.05303030303030303,0.012195121951219513,,0.027777777777777776,0.041666666666666664
Catholic,0.013888888888888888,0.05357142857142857,0.09090909090909091,0.0641025641025641,0.06818181818181818,0.04285714285714286,0.05303030303030303,0.006097560975609756,,0.08333333333333333,0.041666666666666664
Christian,0.04861111111111111,0.0,0.06818181818181818,0.10256410256410256,0.06818181818181818,0.06428571428571428,0.06818181818181818,0.018292682926829267,,0.05555555555555555,0.013888888888888888
Hindu,0.020833333333333332,0.07142857142857142,0.030303030303030304,0.02564102564102564,0.14393939393939395,0.03571428571428571,0.06060606060606061,0.03048780487804878,,0.041666666666666664,0.06944444444444445
Jewish,0.027777777777777776,0.07142857142857142,0.06060606060606061,0.02564102564102564,0.06060606060606061,0.07142857142857142,0.06818181818181818,0.012195121951219513,,0.05555555555555555,0.06944444444444445
Mormon,0.034722222222222224,0.08928571428571429,0.03787878787878788,0.04487179487179487,0.09848484848484848,0.06428571428571428,0.12878787878787878,0.04878048780487805,,0.05555555555555555,0.027777777777777776
Muslim,0.034722222222222224,0.03571428571428571,0.03787878787878788,0.04487179487179487,0.12878787878787878,0.02142857142857143,0.05303030303030303,0.07926829268292683,,0.041666666666666664,0.027777777777777776
Orthodox,0.034722222222222224,0.017857142857142856,0.06060606060606061,0.038461538461538464,0.07575757575757576,0.1357142857142857,0.06818181818181818,0.054878048780487805,,0.08333333333333333,0.05555555555555555
Protestant,0.034722222222222224,0.017857142857142856,0.06818181818181818,0.1282051282051282,0.05303030303030303,0.1,0.09090909090909091,0.018292682926829267,,0.125,0.06944444444444445
Sikh,0.041666666666666664,0.05357142857142857,0.030303030303030304,0.03205128205128205,0.07575757575757576,0.05714285714285714,0.06818181818181818,0.006097560975609756,,0.06944444444444445,0.05555555555555555
