,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.3472222222222222,0.17857142857142858,0.24242424242424243,0.20512820512820512,0.2727272727272727,0.1357142857142857,0.3712121212121212,0.13414634146341464,,0.1388888888888889,0.2361111111111111
Buddhist,0.08333333333333333,0.26785714285714285,0.15151515151515152,0.10897435897435898,0.22727272727272727,0.1,0.1893939393939394,0.10365853658536585,,0.1111111111111111,0.1527777777777778
Catholic,0.18055555555555555,0.26785714285714285,0.7121212121212122,0.47435897435897434,0.3484848484848485,0.3,0.5075757575757576,0.2926829268292683,,0.20833333333333334,0.18055555555555555
Christian,0.20833333333333334,0.10714285714285714,0.36363636363636365,0.5512820512820513,0.3560606060606061,0.2571428571428571,0.5151515151515151,0.25609756097560976,,0.18055555555555555,0.25
Hindu,0.22916666666666666,0.3392857142857143,0.3409090909090909,0.26282051282051283,0.6363636363636364,0.2785714285714286,0.4393939393939394,0.3231707317073171,,0.2222222222222222,0.5
Jewish,0.2847222222222222,0.3392857142857143,0.3939393939393939,0.3076923076923077,0.3333333333333333,0.55,0.5227272727272727,0.2865853658536585,,0.2777777777777778,0.2361111111111111
Mormon,0.1597222222222222,0.23214285714285715,0.3787878787878788,0.34615384615384615,0.32575757575757575,0.22142857142857142,0.5757575757575758,0.1951219512195122,,0.25,0.2361111111111111
Muslim,0.1597222222222222,0.35714285714285715,0.42424242424242425,0.28205128205128205,0.4015151515151515,0.30714285714285716,0.48484848484848486,0.524390243902439,,0.18055555555555555,0.2638888888888889
Orthodox,0.2013888888888889,0.25,0.3939393939393939,0.32051282051282054,0.3181818181818182,0.32142857142857145,0.45454545454545453,0.3353658536585366,,0.18055555555555555,0.3055555555555556
Protestant,0.2361111111111111,0.21428571428571427,0.4090909090909091,0.5,0.36363636363636365,0.2571428571428571,0.4772727272727273,0.2804878048780488,,0.5555555555555556,0.3333333333333333
Sikh,0.19444444444444445,0.35714285714285715,0.30303030303030304,0.32051282051282054,0.4166666666666667,0.2357142857142857,0.4696969696969697,0.2865853658536585,,0.2777777777777778,0.5555555555555556
