,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.08333333333333333,0.017857142857142856,0.045454545454545456,0.0641025641025641,-0.03787878787878788,0.014285714285714285,-0.030303030303030304,0.036585365853658534,,0.041666666666666664,0.05555555555555555
Buddhist,0.04861111111111111,0.2857142857142857,0.06818181818181818,0.019230769230769232,-0.045454545454545456,0.03571428571428571,-0.045454545454545456,0.04878048780487805,,0.041666666666666664,0.16666666666666666
Catholic,-0.006944444444444444,0.03571428571428571,0.24242424242424243,0.09615384615384616,-0.12878787878787878,0.1,0.06818181818181818,0.10975609756097561,,0.041666666666666664,0.09722222222222222
Christian,0.0625,0.125,0.12878787878787878,0.19230769230769232,-0.09848484848484848,0.08571428571428572,-0.022727272727272728,0.036585365853658534,,0.041666666666666664,0.20833333333333334
Hindu,0.020833333333333332,0.16071428571428573,0.11363636363636363,0.019230769230769232,0.015151515151515152,0.07857142857142857,-0.007575757575757576,0.06707317073170732,,0.08333333333333333,0.18055555555555555
Jewish,0.05555555555555555,0.10714285714285714,0.07575757575757576,0.05128205128205128,-0.06060606060606061,0.14285714285714285,-0.022727272727272728,0.06097560975609756,,0.09722222222222222,0.1527777777777778
Mormon,0.020833333333333332,0.08928571428571429,0.14393939393939395,0.07051282051282051,-0.10606060606060606,0.07857142857142857,0.13636363636363635,0.11585365853658537,,0.027777777777777776,0.125
Muslim,0.04861111111111111,0.10714285714285714,0.09090909090909091,0.01282051282051282,-0.12121212121212122,0.06428571428571428,0.022727272727272728,0.1524390243902439,,0.027777777777777776,0.2361111111111111
Orthodox,-0.013888888888888888,0.14285714285714285,0.12878787878787878,0.038461538461538464,-0.10606060606060606,0.08571428571428572,0.03787878787878788,0.0975609756097561,,0.08333333333333333,0.1388888888888889
Protestant,0.006944444444444444,0.07142857142857142,0.06818181818181818,0.0641025641025641,-0.10606060606060606,0.07857142857142857,0.022727272727272728,0.04878048780487805,,0.2777777777777778,0.1388888888888889
Sikh,0.05555555555555555,0.16071428571428573,0.08333333333333333,0.038461538461538464,-0.12878787878787878,0.05,0.030303030303030304,0.08536585365853659,,0.09722222222222222,0.2916666666666667
