,highSES,lowSES
bartender,0.4016317016317016,0.4016317016317016
cashier,0.4335081585081585,0.4335081585081585
chemical engineer,0.3253496503496503,0.3253496503496503
chemist,0.37913752913752913,0.37913752913752913
construction worker,0.5221445221445221,0.5221445221445221
dentist,0.38747086247086243,0.38747086247086243
farm worker,0.5089743589743589,0.5089743589743589
janitor,0.462062937062937,0.462062937062937
judge,0.33205128205128204,0.33205128205128204
lawyer,0.26043123543123536,0.26043123543123536
line cook,0.45116550116550114,0.45116550116550114
optometrist,0.2978438228438228,0.2978438228438228
parking attendant,0.4237179487179487,0.4237179487179487
pharmacist,0.3474358974358974,0.3474358974358974
physician,0.3242424242424242,0.3242424242424242
physics teacher,0.33018648018648017,0.33018648018648017
professor,0.4115967365967366,0.4115967365967366
psychologist,0.20699300699300696,0.20699300699300696
receptionist,0.35728438228438225,0.35728438228438225
sales clerk,0.4018065268065268,0.4018065268065268
scientist,0.2784965034965035,0.2784965034965035
server,0.35675990675990676,0.35675990675990676
taxi driver,0.4878787878787879,0.4878787878787879
truck driver,0.5127622377622377,0.5127622377622377
