,highSES,lowSES
bartender,0.08449883449883447,-0.08449883449883447
cashier,0.09131701631701628,-0.09131701631701628
chemical engineer,0.09632867132867129,-0.09632867132867129
chemist,0.11899766899766892,-0.11899766899766892
construction worker,0.061421911421911404,-0.061421911421911404
dentist,0.10996503496503492,-0.10996503496503492
farm worker,0.04324009324009324,-0.04324009324009324
janitor,0.052622377622377606,-0.052622377622377606
judge,0.0869463869463869,-0.0869463869463869
lawyer,0.0761655011655011,-0.0761655011655011
line cook,0.05827505827505823,-0.05827505827505823
optometrist,0.09178321678321676,-0.09178321678321676
parking attendant,0.08747086247086243,-0.08747086247086243
pharmacist,0.10675990675990672,-0.10675990675990672
physician,0.10641025641025639,-0.10641025641025639
physics teacher,0.10536130536130535,-0.10536130536130535
professor,0.13490675990675988,-0.13490675990675988
psychologist,0.05314685314685312,-0.05314685314685312
receptionist,0.08630536130536126,-0.08630536130536126
sales clerk,0.09527972027972025,-0.09527972027972025
scientist,0.08898601398601394,-0.08898601398601394
server,0.08030303030303025,-0.08030303030303025
taxi driver,0.09324009324009318,-0.09324009324009318
truck driver,0.05565268065268063,-0.05565268065268063
