,highSES,lowSES
bartender,0.05402097902097898,0.05402097902097898
cashier,0.05646853146853144,0.05646853146853144
chemical engineer,0.06736596736596732,0.06736596736596732
chemist,0.06305361305361303,0.06305361305361303
construction worker,0.07412587412587407,0.07412587412587407
dentist,0.0644522144522144,0.0644522144522144
farm worker,0.07196969696969689,0.07196969696969689
janitor,0.06742424242424237,0.06742424242424237
judge,0.06858974358974354,0.06858974358974354
lawyer,0.06870629370629366,0.06870629370629366
line cook,0.0679487179487179,0.0679487179487179
optometrist,0.06346153846153842,0.06346153846153842
parking attendant,0.058216783216783176,0.058216783216783176
pharmacist,0.06013986013986009,0.06013986013986009
physician,0.06754079254079247,0.06754079254079247
physics teacher,0.06561771561771555,0.06561771561771555
professor,0.06678321678321672,0.06678321678321672
psychologist,0.06987179487179482,0.06987179487179482
receptionist,0.05553613053613049,0.05553613053613049
sales clerk,0.0569347319347319,0.0569347319347319
scientist,0.06608391608391602,0.06608391608391602
server,0.057459207459207386,0.057459207459207386
taxi driver,0.06200466200466196,0.06200466200466196
truck driver,0.08368298368298363,0.08368298368298363
