,highSES,lowSES
bartender,0.03350815850815851,0.03263403263403263
cashier,0.03496503496503497,0.031177156177156176
chemical engineer,0.04195804195804196,0.028554778554778556
chemist,0.046620046620046623,0.023310023310023312
construction worker,0.035547785547785545,0.04895104895104895
dentist,0.04428904428904429,0.023892773892773892
farm worker,0.02972027972027972,0.06555944055944056
janitor,0.028554778554778556,0.051864801864801864
judge,0.044580419580419584,0.030011655011655012
lawyer,0.047494172494172496,0.03292540792540793
line cook,0.03175990675990676,0.047494172494172496
optometrist,0.0472027972027972,0.026515151515151516
parking attendant,0.04020979020979021,0.03350815850815851
pharmacist,0.03875291375291375,0.027972027972027972
physician,0.0472027972027972,0.027389277389277388
physics teacher,0.048659673659673656,0.022435897435897436
professor,0.044580419580419584,0.02505827505827506
psychologist,0.03467365967365967,0.028263403263403264
receptionist,0.03613053613053613,0.03175990675990676
sales clerk,0.03175990675990676,0.0337995337995338
scientist,0.04224941724941725,0.026806526806526808
server,0.032342657342657344,0.025932400932400932
taxi driver,0.030011655011655012,0.04312354312354312
truck driver,0.034382284382284384,0.06672494172494173
