Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
bartender,0.0120053119123751,0.112267657992565,-0.0005827505827505908,0.0002913752913752954,0.8930652680652681,0.7304778554778555
cashier,0.014175870341503334,0.10908427581174762,0.03496503496503489,0.016317016317016313,0.87004662004662,0.7307692307692307
chemical engineer,0.017675194523786065,0.1077464788732394,0.009906759906759932,0.05623543123543124,0.835955710955711,0.7561188811188811
chemist,0.019812683129266054,0.10624551328068921,0.0034965034965035446,0.07167832167832168,0.8135198135198135,0.7418414918414918
construction worker,0.02085520424078418,0.09996516893068619,0.061771561771561734,-0.01864801864801864,0.7913752913752914,0.7511655011655012
dentist,0.027303008015174206,0.10319815364325757,-0.005827505827505797,0.08391608391608393,0.7354312354312355,0.8076923076923077
farm worker,0.019601014538709265,0.08134302526825898,0.05011655011655003,-0.012529137529137521,0.759032634032634,0.7703962703962703
janitor,0.017140070125405305,0.09008379888268148,0.08799533799533799,0.002622377622377617,0.8097319347319347,0.759032634032634
judge,0.01985909807138859,0.1117318435754191,0.021561771561771526,0.03146853146853147,0.8222610722610723,0.6587995337995338
lawyer,0.01640618172876239,0.11421098517872719,-0.030303030303030276,0.04283216783216784,0.8563519813519813,0.6025641025641025
line cook,0.016348505575591768,0.08891928864569087,0.03146853146853146,-0.0026223776223776307,0.8161421911421911,0.782051282051282
optometrist,0.012450235582015412,0.12173563680192845,-0.036713286713286664,0.03991841491841491,0.8977272727272727,0.6733682983682984
parking attendant,0.0193735342069242,0.10846650799047941,0.053613053613053574,0.009032634032634032,0.8213869463869464,0.7931235431235432
pharmacist,0.012506383710288258,0.10195227765726678,-0.04953379953379944,0.04691142191142191,0.8773310023310024,0.7462121212121212
physician,0.01457327281838682,0.14413680781758953,-0.0518648018648018,0.04632867132867133,0.8988927738927739,0.6558857808857809
physics teacher,0.01849174750634605,0.09210983663538408,-0.03438228438228441,0.07896270396270397,0.7992424242424242,0.7817599067599068
professor,0.023401475371918726,0.09711470795214638,0.004662004662004726,0.08653846153846155,0.759032634032634,0.7575757575757576
psychologist,0.007953254865520632,0.12350936967632031,-0.03379953379953382,0.019522144522144524,0.9356060606060606,0.6282051282051282
receptionist,0.006719109002009623,0.14234556848701874,-0.03379953379953382,0.001748251748251748,0.9527972027972028,0.5979020979020979
sales clerk,0.015020361067996557,0.09837763203313776,-0.01689976689976691,0.020979020979020976,0.8473193473193473,0.7835081585081585
scientist,0.01764187957257265,0.11445544554455456,-0.004079254079254024,0.046328671328671335,0.8458624708624709,0.6797785547785548
server,0.016211954541883036,0.09227102485529448,-0.029720279720279685,0.031177156177156176,0.8243006993006993,0.791083916083916
taxi driver,0.014635870941952704,0.0827517447657029,0.07051282051282048,0.02942890442890443,0.8231351981351981,0.8178904428904429
truck driver,0.014426325532672037,0.08610634648370508,0.07867132867132864,0.005536130536130529,0.8324592074592074,0.7736013986013986
