,highSES,lowSES
bartender,0.263986013986014,-0.23339160839160839
cashier,0.2508741258741259,-0.22814685314685315
chemical engineer,0.22115384615384615,-0.19493006993006992
chemist,0.243006993006993,-0.23513986013986013
construction worker,0.18764568764568765,-0.18822843822843824
dentist,0.2089160839160839,-0.1993006993006993
farm worker,0.1346153846153846,-0.14423076923076922
janitor,0.1282051282051282,-0.1453962703962704
judge,0.2400932400932401,-0.2293123543123543
lawyer,0.1893939393939394,-0.12878787878787878
line cook,0.175990675990676,-0.1893939393939394
optometrist,0.22698135198135197,-0.2092074592074592
parking attendant,0.24854312354312355,-0.19813519813519814
pharmacist,0.273018648018648,-0.2365967365967366
physician,0.18123543123543123,-0.14918414918414918
physics teacher,0.20862470862470864,-0.20046620046620048
professor,0.24446386946386947,-0.21445221445221446
psychologist,0.12907925407925408,-0.09731934731934731
receptionist,0.22057109557109558,-0.17715617715617715
sales clerk,0.26194638694638694,-0.21095571095571095
scientist,0.16462703962703962,-0.14044289044289043
server,0.19493006993006992,-0.17395104895104896
taxi driver,0.1349067599067599,-0.15268065268065267
truck driver,0.13607226107226109,-0.12878787878787878
