,highSES,lowSES
bartender,-0.004079254079254079,0.004079254079254079
cashier,-0.007284382284382284,0.007284382284382284
chemical engineer,-0.006701631701631702,0.006701631701631702
chemist,-0.008741258741258742,0.008741258741258742
construction worker,-0.00641025641025641,0.00641025641025641
dentist,-0.009615384615384616,0.009615384615384616
farm worker,-0.004079254079254079,0.004079254079254079
janitor,-0.006701631701631702,0.006701631701631702
judge,-0.0034965034965034965,0.0034965034965034965
lawyer,-0.002913752913752914,0.002913752913752914
line cook,-0.007284382284382284,0.007284382284382284
optometrist,-0.005827505827505828,0.005827505827505828
parking attendant,-0.0034965034965034965,0.0034965034965034965
pharmacist,-0.0017482517482517483,0.0017482517482517483
physician,-0.003787878787878788,0.003787878787878788
physics teacher,-0.007575757575757576,0.007575757575757576
professor,-0.00641025641025641,0.00641025641025641
psychologist,-0.0008741258741258741,0.0008741258741258741
receptionist,-0.008158508158508158,0.008158508158508158
sales clerk,-0.006701631701631702,0.006701631701631702
scientist,-0.007284382284382284,0.007284382284382284
server,-0.00844988344988345,0.00844988344988345
taxi driver,-0.007284382284382284,0.007284382284382284
truck driver,-0.005827505827505828,0.005827505827505828
