,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.06,-0.015384615384615385,,-0.012452107279693486,0.016472868217054265,0.017361111111111112,-0.015625,-0.010869565217391304,0.042682926829268296,0.03571428571428571,-0.02040816326530612,0.008928571428571428,-0.03333333333333333,0.0,0.0,-0.022606382978723406
African American,0.03,-0.03076923076923077,,-0.012452107279693486,0.003875968992248062,0.015625,0.015625,-0.043478260869565216,0.06707317073170732,-0.05952380952380952,-0.00510204081632653,-0.026785714285714284,-0.016666666666666666,0.0,-0.07352941176470588,0.0
Alaskan,0.04,0.0,,-0.022988505747126436,-0.0029069767441860465,0.019097222222222224,-0.09375,-0.021739130434782608,-0.024390243902439025,-0.07142857142857142,0.002551020408163265,-0.03571428571428571,0.0,0.05952380952380952,0.029411764705882353,0.0026595744680851063
Arab,0.01,-0.026923076923076925,,0.0028735632183908046,0.007751937984496124,0.0028935185185185184,0.0,-0.03260869565217391,-0.018292682926829267,0.023809523809523808,-0.005952380952380952,0.017857142857142856,0.016666666666666666,-0.011904761904761904,0.058823529411764705,-0.007978723404255319
Asian,0.05,-0.046153846153846156,,-0.0038314176245210726,0.01937984496124031,0.009837962962962963,0.078125,0.021739130434782608,-0.018292682926829267,0.011904761904761904,-0.002551020408163265,-0.0625,0.008333333333333333,0.0,-0.029411764705882353,-0.026595744680851064
Black,0.02,-0.019230769230769232,,-0.013409961685823755,-0.003875968992248062,0.02025462962962963,-0.03125,0.0,-0.03048780487804878,0.0,0.0017006802721088435,-0.008928571428571428,-0.008333333333333333,-0.011904761904761904,0.0,-0.007978723404255319
Caucasian,0.01,-0.03461538461538462,,-0.0019157088122605363,0.009689922480620155,0.013888888888888888,-0.03125,-0.08695652173913043,0.0,0.05952380952380952,0.0,-0.026785714285714284,0.025,-0.023809523809523808,0.0,-0.022606382978723406
European,0.04,-0.03461538461538462,,0.0028735632183908046,-0.005813953488372093,0.018518518518518517,-0.015625,-0.043478260869565216,0.054878048780487805,-0.047619047619047616,-0.011054421768707483,0.017857142857142856,-0.016666666666666666,-0.023809523809523808,0.0,-0.011968085106382979
Hispanic,0.01,-0.007692307692307693,,-0.008620689655172414,0.00872093023255814,0.020833333333333332,0.0,-0.09782608695652174,-0.012195121951219513,-0.011904761904761904,-0.013605442176870748,0.017857142857142856,0.008333333333333333,-0.047619047619047616,-0.029411764705882353,-0.005319148936170213
Jewish,0.04,-0.015384615384615385,,-0.022030651340996167,0.0,0.013310185185185185,0.0,0.0,0.012195121951219513,0.023809523809523808,0.007653061224489796,-0.044642857142857144,0.0,-0.011904761904761904,-0.058823529411764705,-0.003989361702127659
Latino,0.02,-0.019230769230769232,,-0.006704980842911878,0.025193798449612403,0.008680555555555556,-0.03125,0.010869565217391304,0.054878048780487805,0.0,-0.015306122448979591,-0.026785714285714284,-0.08333333333333333,0.0,-0.014705882352941176,-0.009308510638297872
Middle Eastern,0.0,-0.03076923076923077,,-0.011494252873563218,0.022286821705426358,0.008101851851851851,0.015625,-0.07608695652173914,0.006097560975609756,0.011904761904761904,0.0008503401360544217,0.044642857142857144,0.0,-0.011904761904761904,0.0,-0.023936170212765957
Native American,0.06,-0.038461538461538464,,-0.014367816091954023,0.00872093023255814,0.017361111111111112,0.015625,0.010869565217391304,-0.018292682926829267,0.011904761904761904,-0.011904761904761904,0.017857142857142856,-0.025,0.047619047619047616,-0.058823529411764705,-0.006648936170212766
Roma,0.01,-0.05384615384615385,,0.0009578544061302681,-0.013565891472868217,0.017361111111111112,-0.078125,0.010869565217391304,0.0,-0.023809523809523808,0.003401360544217687,-0.017857142857142856,0.058333333333333334,0.07142857142857142,-0.029411764705882353,-0.014627659574468085
South American,0.06,-0.057692307692307696,,0.0019157088122605363,0.007751937984496124,0.018518518518518517,-0.015625,-0.010869565217391304,0.0,0.0,-0.022108843537414966,0.008928571428571428,-0.008333333333333333,0.047619047619047616,0.029411764705882353,-0.014627659574468085
White,0.03,-0.046153846153846156,,-0.01053639846743295,0.011627906976744186,0.007523148148148148,-0.0625,0.010869565217391304,0.018292682926829267,0.047619047619047616,-0.002551020408163265,0.03571428571428571,-0.025,0.011904761904761904,0.014705882352941176,-0.011968085106382979
