Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
African,-0.0007710914955016352,-0.0014598540145985828,0.025000000000000022,0.00029069767441858296,0.47180232558139534,0.30959302325581395
African American,0.00847176079734218,0.015977443609022535,-0.005813953488372103,-0.010465116279069764,0.4697674418604651,0.33430232558139533
Alaskan,-0.00402657807308968,-0.0065306122448979265,-0.03662790697674417,-0.012500000000000011,0.3834302325581395,0.47238372093023256
Arab,0.0010389910910563183,0.0019900497512437276,-0.0017441860465116088,-0.0046511627906976605,0.47790697674418603,0.3177325581395349
Asian,-0.011012815826746448,-0.0216110019646365,0.011046511627906985,-0.00784883720930235,0.49040697674418604,0.3200581395348837
Black,-0.005371110877266809,-0.010558069381598756,0.005813953488372048,-0.0029069767441860517,0.49127906976744184,0.30465116279069765
Caucasian,-0.0004996743221074961,-0.0010373443983402453,0.022093023255813915,0.0008720930232558322,0.5183139534883721,0.28837209302325584
European,-0.006473712958497774,-0.011426153195090993,-0.0040697674418604946,0.006686046511627908,0.43343023255813956,0.45901162790697675
Hispanic,-0.0069792756607149,-0.013062409288824406,0.01511627906976748,0.008139534883720934,0.46569767441860466,0.31511627906976747
Jewish,-0.005555879200260964,-0.011022044088176308,-0.0011627906976744429,0.005232558139534882,0.49593023255813956,0.313953488372093
Latino,-0.0007605414192349951,-0.0014265335235378318,-0.013953488372093037,-0.006976744186046491,0.46686046511627904,0.33313953488372094
Middle Eastern,0.004750881232743703,0.008916001877053104,-0.02209302325581397,0.00552325581395352,0.4671511627906977,0.3569767441860465
Native American,-0.005602762870204737,-0.010446343779677125,0.008139534883720934,-0.0043604651162790775,0.4636627906976744,0.34593023255813954
Roma,-0.0067693675011109445,-0.01273885350318471,-0.018604651162790697,-0.008720930232558155,0.4686046511627907,0.38488372093023254
South American,-0.011134232636113748,-0.018440905280804665,-0.009883720930232542,-0.007267441860465129,0.39622093023255817,0.44215116279069766
White,0.0012424133165074593,0.0025839793281654533,0.009302325581395376,0.0,0.5191860465116279,0.30465116279069765
