,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.15,0.19230769230769232,,0.045019157088122604,-0.022286821705426358,0.13425925925925927,0.125,-0.010869565217391304,-0.04878048780487805,0.05952380952380952,-0.006802721088435374,0.008928571428571428,0.0,0.047619047619047616,-0.04411764705882353,0.03324468085106383
African American,0.28,0.10384615384615385,,0.07088122605363985,0.05813953488372093,0.06770833333333333,0.015625,-0.18478260869565216,0.006097560975609756,-0.011904761904761904,0.01870748299319728,-0.07142857142857142,0.041666666666666664,0.047619047619047616,0.07352941176470588,0.02925531914893617
Alaskan,0.16,0.05384615384615385,,0.01532567049808429,0.006782945736434108,0.05439814814814815,0.0,-0.05434782608695652,0.04878048780487805,0.05952380952380952,0.06292517006802721,-0.044642857142857144,0.11666666666666667,-0.08333333333333333,0.014705882352941176,0.05452127659574468
Arab,0.08,-0.06923076923076923,,0.07279693486590039,0.05910852713178295,0.041666666666666664,0.109375,-0.11956521739130435,-0.04878048780487805,0.03571428571428571,0.002551020408163265,0.15178571428571427,-0.10833333333333334,-0.011904761904761904,0.029411764705882353,0.08643617021276596
Asian,0.06,0.06538461538461539,,0.04693486590038314,0.16763565891472867,0.017939814814814815,0.078125,0.14130434782608695,-0.018292682926829267,0.08333333333333333,0.0,-0.026785714285714284,0.03333333333333333,-0.03571428571428571,-0.014705882352941176,-0.005319148936170213
Black,0.0,0.08461538461538462,,0.018199233716475097,0.003875968992248062,0.0920138888888889,0.09375,-0.09782608695652174,-0.06097560975609756,-0.03571428571428571,0.05782312925170068,0.07142857142857142,0.041666666666666664,0.07142857142857142,0.11764705882352941,0.030585106382978722
Caucasian,0.0,-0.023076923076923078,,0.04118773946360153,0.023255813953488372,-0.016203703703703703,0.234375,-0.07608695652173914,0.06707317073170732,0.07142857142857142,0.01445578231292517,0.0,0.008333333333333333,0.09523809523809523,-0.04411764705882353,0.1023936170212766
European,0.03,-0.06538461538461539,,0.0421455938697318,0.044573643410852716,0.020833333333333332,0.140625,0.2608695652173913,0.024390243902439025,-0.047619047619047616,0.06292517006802721,-0.044642857142857144,-0.08333333333333333,0.0,0.22058823529411764,0.09574468085106383
Hispanic,0.08,-0.0038461538461538464,,0.05076628352490421,-0.03391472868217054,0.05324074074074074,0.125,-0.09782608695652174,0.16463414634146342,0.09523809523809523,0.1717687074829932,-0.09821428571428571,0.008333333333333333,0.11904761904761904,0.04411764705882353,0.018617021276595744
Jewish,0.03,0.03461538461538462,,0.07375478927203065,0.04263565891472868,0.01273148148148148,0.078125,0.010869565217391304,0.07926829268292683,0.2857142857142857,0.017857142857142856,-0.05357142857142857,-0.11666666666666667,0.05952380952380952,0.07352941176470588,0.09042553191489362
Latino,-0.05,0.007692307692307693,,0.02586206896551724,-0.025193798449612403,0.06712962962962964,0.0625,-0.09782608695652174,0.07317073170731707,0.03571428571428571,0.17091836734693877,-0.03571428571428571,0.125,0.03571428571428571,0.27941176470588236,0.0199468085106383
Middle Eastern,0.16,0.05,,0.20306513409961685,0.044573643410852716,0.020833333333333332,-0.03125,-0.11956521739130435,0.03048780487804878,0.10714285714285714,-0.02295918367346939,0.20535714285714285,-0.016666666666666666,-0.05952380952380952,-0.058823529411764705,0.03856382978723404
Native American,0.13,0.019230769230769232,,-0.0028735632183908046,0.011627906976744186,0.08333333333333333,-0.09375,0.010869565217391304,-0.07317073170731707,0.07142857142857142,0.061224489795918366,0.017857142857142856,0.23333333333333334,0.011904761904761904,-0.058823529411764705,0.0851063829787234
Roma,0.12,-0.08076923076923077,,0.05555555555555555,0.040697674418604654,0.019675925925925927,0.15625,-0.010869565217391304,-0.018292682926829267,0.17857142857142858,0.05952380952380952,0.08035714285714286,0.041666666666666664,0.27380952380952384,-0.029411764705882353,0.03856382978723404
South American,0.02,-0.038461538461538464,,0.006704980842911878,0.03294573643410853,0.10706018518518519,-0.046875,-0.2717391304347826,0.06097560975609756,-0.03571428571428571,0.0977891156462585,0.0,-0.09166666666666666,0.0,0.27941176470588236,-0.0026595744680851063
White,0.06,-0.023076923076923078,,0.05842911877394636,0.06976744186046512,0.011574074074074073,-0.03125,0.0,0.042682926829268296,0.011904761904761904,-0.02295918367346939,-0.0625,0.06666666666666667,0.011904761904761904,0.0,0.04920212765957447
