,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.0763888888888889,0.07142857142857142,0.05303030303030303,0.05128205128205128,0.09090909090909091,0.12142857142857143,0.05303030303030303,0.08536585365853659,,0.08333333333333333,0.09722222222222222
Buddhist,0.0763888888888889,0.08928571428571429,0.06060606060606061,0.04487179487179487,0.12878787878787878,0.05,0.06818181818181818,0.06707317073170732,,0.041666666666666664,0.041666666666666664
Catholic,0.0763888888888889,0.125,0.12121212121212122,0.07692307692307693,0.07575757575757576,0.08571428571428572,0.05303030303030303,0.06707317073170732,,0.06944444444444445,0.05555555555555555
Christian,0.10416666666666667,0.14285714285714285,0.09848484848484848,0.08974358974358974,0.09848484848484848,0.08571428571428572,0.09848484848484848,0.06707317073170732,,0.08333333333333333,0.08333333333333333
Hindu,0.05555555555555555,0.07142857142857142,0.045454545454545456,0.057692307692307696,0.21212121212121213,0.05714285714285714,0.08333333333333333,0.07317073170731707,,0.06944444444444445,0.08333333333333333
Jewish,0.0625,0.125,0.12121212121212122,0.08974358974358974,0.06818181818181818,0.15,0.06060606060606061,0.0975609756097561,,0.041666666666666664,0.06944444444444445
Mormon,0.0763888888888889,0.17857142857142858,0.045454545454545456,0.04487179487179487,0.09090909090909091,0.08571428571428572,0.09848484848484848,0.07317073170731707,,0.06944444444444445,0.06944444444444445
Muslim,0.0763888888888889,0.14285714285714285,0.06060606060606061,0.07051282051282051,0.12878787878787878,0.07857142857142857,0.09090909090909091,0.10365853658536585,,0.18055555555555555,0.06944444444444445
Orthodox,0.06944444444444445,0.14285714285714285,0.09090909090909091,0.10897435897435898,0.06818181818181818,0.10714285714285714,0.05303030303030303,0.07317073170731707,,0.09722222222222222,0.027777777777777776
Protestant,0.06944444444444445,0.05357142857142857,0.07575757575757576,0.04487179487179487,0.10606060606060606,0.04285714285714286,0.08333333333333333,0.07926829268292683,,0.1111111111111111,0.05555555555555555
Sikh,0.0625,0.10714285714285714,0.06818181818181818,0.07692307692307693,0.09848484848484848,0.07142857142857142,0.045454545454545456,0.06707317073170732,,0.08333333333333333,0.06944444444444445
