,highSES,lowSES
bartender,0.0673076923076923,0.0673076923076923
cashier,0.07313519813519813,0.07313519813519813
chemical engineer,0.09003496503496504,0.09003496503496504
chemist,0.08974358974358974,0.08974358974358974
construction worker,0.06468531468531469,0.06468531468531469
dentist,0.07721445221445221,0.07721445221445221
farm worker,0.06614219114219114,0.06614219114219114
janitor,0.0673076923076923,0.0673076923076923
judge,0.08362470862470862,0.08362470862470862
lawyer,0.10839160839160839,0.10839160839160839
line cook,0.06934731934731934,0.06934731934731934
optometrist,0.08828671328671328,0.08828671328671328
parking attendant,0.07226107226107226,0.07226107226107226
pharmacist,0.08275058275058275,0.08275058275058275
physician,0.09761072261072261,0.09761072261072261
physics teacher,0.08974358974358974,0.08974358974358974
professor,0.09411421911421912,0.09411421911421912
psychologist,0.12383449883449883,0.12383449883449883
receptionist,0.0678904428904429,0.0678904428904429
sales clerk,0.07051282051282051,0.07051282051282051
scientist,0.09644522144522144,0.09644522144522144
server,0.06993006993006994,0.06993006993006994
taxi driver,0.0675990675990676,0.0675990675990676
truck driver,0.06585081585081586,0.06585081585081586
