,highSES,lowSES
bartender,0.006993006993006993,-0.001456876456876457
cashier,0.007284382284382284,0.0011655011655011655
chemical engineer,0.011363636363636364,-0.0017482517482517483
chemist,0.01048951048951049,0.0005827505827505828
construction worker,0.00641025641025641,-0.0005827505827505828
dentist,0.011363636363636364,0.0034965034965034965
farm worker,0.006118881118881119,-0.0011655011655011655
janitor,0.011655011655011656,-0.004370629370629371
judge,0.007867132867132868,0.0017482517482517483
lawyer,0.011072261072261072,0.005827505827505828
line cook,0.007867132867132868,-0.0002913752913752914
optometrist,0.009906759906759906,0.0002913752913752914
parking attendant,0.007284382284382284,-0.0020396270396270395
pharmacist,0.008741258741258742,0.0034965034965034965
physician,0.013111888111888112,0.005827505827505828
physics teacher,0.009615384615384616,0.0008741258741258741
professor,0.00641025641025641,0.004953379953379953
psychologist,0.01078088578088578,0.002331002331002331
receptionist,0.007867132867132868,-0.0017482517482517483
sales clerk,0.007284382284382284,0.006701631701631702
scientist,0.01048951048951049,0.0020396270396270395
server,0.006118881118881119,0.005536130536130536
taxi driver,0.008158508158508158,-0.002913752913752914
truck driver,0.011946386946386946,-0.004953379953379953
