,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.27,0.3269230769230769,,0.31800766283524906,0.30523255813953487,0.31655092592592593,0.28125,0.21739130434782608,0.27439024390243905,0.27380952380952384,0.3401360544217687,0.30357142857142855,0.25,0.27380952380952384,0.23529411764705882,0.33111702127659576
African American,0.3,0.3576923076923077,,0.3333333333333333,0.3246124031007752,0.3119212962962963,0.234375,0.29347826086956524,0.25609756097560976,0.30952380952380953,0.3239795918367347,0.24107142857142858,0.25833333333333336,0.30952380952380953,0.3088235294117647,0.32313829787234044
Alaskan,0.26,0.3423076923076923,,0.342911877394636,0.32655038759689925,0.3194444444444444,0.421875,0.2826086956521739,0.29878048780487804,0.23809523809523808,0.31887755102040816,0.29464285714285715,0.31666666666666665,0.2976190476190476,0.3382352941176471,0.30319148936170215
Arab,0.21,0.33076923076923076,,0.3227969348659004,0.29554263565891475,0.3142361111111111,0.25,0.2826086956521739,0.3048780487804878,0.30952380952380953,0.3231292517006803,0.3125,0.2916666666666667,0.32142857142857145,0.3088235294117647,0.34574468085106386
Asian,0.28,0.28076923076923077,,0.3017241379310345,0.3178294573643411,0.30497685185185186,0.25,0.29347826086956524,0.2682926829268293,0.21428571428571427,0.3324829931972789,0.2857142857142857,0.25,0.30952380952380953,0.27941176470588236,0.324468085106383
Black,0.22,0.28846153846153844,,0.34099616858237547,0.29844961240310075,0.30960648148148145,0.265625,0.22826086956521738,0.2865853658536585,0.23809523809523808,0.3392857142857143,0.3482142857142857,0.25,0.32142857142857145,0.23529411764705882,0.31117021276595747
Caucasian,0.3,0.3038461538461538,,0.3371647509578544,0.3323643410852713,0.31828703703703703,0.328125,0.31521739130434784,0.2621951219512195,0.2976190476190476,0.3435374149659864,0.3125,0.25,0.34523809523809523,0.29411764705882354,0.30851063829787234
European,0.32,0.3192307692307692,,0.30938697318007663,0.32073643410852715,0.30844907407407407,0.40625,0.31521739130434784,0.27439024390243905,0.21428571428571427,0.3273809523809524,0.25,0.24166666666666667,0.2857142857142857,0.27941176470588236,0.3337765957446808
Hispanic,0.27,0.28846153846153844,,0.3381226053639847,0.31492248062015504,0.31539351851851855,0.234375,0.2717391304347826,0.2926829268292683,0.32142857142857145,0.34778911564625853,0.29464285714285715,0.275,0.30952380952380953,0.27941176470588236,0.3351063829787234
Jewish,0.29,0.3038461538461538,,0.33237547892720304,0.312984496124031,0.3246527777777778,0.3125,0.2826086956521739,0.2804878048780488,0.38095238095238093,0.3358843537414966,0.29464285714285715,0.30833333333333335,0.34523809523809523,0.35294117647058826,0.32845744680851063
Latino,0.3,0.3153846153846154,,0.33620689655172414,0.3003875968992248,0.30613425925925924,0.328125,0.34782608695652173,0.2804878048780488,0.2857142857142857,0.3333333333333333,0.3392857142857143,0.25,0.30952380952380953,0.3235294117647059,0.3125
Middle Eastern,0.29,0.31153846153846154,,0.3170498084291188,0.3323643410852713,0.2962962962962963,0.28125,0.29347826086956524,0.2926829268292683,0.27380952380952384,0.3129251700680272,0.35714285714285715,0.2916666666666667,0.3333333333333333,0.3088235294117647,0.32180851063829785
Native American,0.31,0.29615384615384616,,0.32471264367816094,0.313953488372093,0.30844907407407407,0.28125,0.2717391304347826,0.2621951219512195,0.2857142857142857,0.33503401360544216,0.2767857142857143,0.31666666666666665,0.2976190476190476,0.25,0.32313829787234044
Roma,0.31,0.28076923076923077,,0.32950191570881227,0.3323643410852713,0.3298611111111111,0.296875,0.30434782608695654,0.25609756097560976,0.30952380952380953,0.33503401360544216,0.2767857142857143,0.325,0.4166666666666667,0.29411764705882354,0.33111702127659576
South American,0.29,0.31153846153846154,,0.3381226053639847,0.32170542635658916,0.3287037037037037,0.359375,0.2608695652173913,0.29878048780487804,0.2261904761904762,0.33163265306122447,0.32142857142857145,0.23333333333333334,0.25,0.4411764705882353,0.3390957446808511
White,0.29,0.2846153846153846,,0.33524904214559387,0.30426356589147285,0.30787037037037035,0.25,0.29347826086956524,0.3048780487804878,0.27380952380952384,0.3112244897959184,0.32142857142857145,0.30833333333333335,0.30952380952380953,0.22058823529411764,0.3337765957446808
