,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.041666666666666616,0.01785714285714282,0.024242424242424218,0.0128205128205128,-0.01212121212121212,0.022857142857142798,-0.007575757575757539,0.01707317073170726,,0.02222222222222216,0.0277777777777777
Buddhist,0.01111111111111108,0.0321428571428571,0.022727272727272717,0.01153846153846152,-0.0030303030303030195,0.02428571428571424,-0.018181818181818157,0.0121951219512195,,0.030555555555555503,0.0416666666666666
Catholic,2.0122792321330962e-17,0.01428571428571426,0.04090909090909088,0.0384615384615384,-0.0333333333333333,0.018571428571428558,-0.0151515151515151,0.01219512195121946,,0.00555555555555554,0.02499999999999994
Christian,0.00972222222222222,0.01428571428571426,0.02272727272727268,0.043589743589743546,-0.013636363636363618,0.01428571428571428,-0.0075757575757575395,0.023170731707317017,,0.02222222222222218,0.033333333333333263
Hindu,0.0013888888888888597,0.02857142857142856,0.024242424242424218,0.021794871794871756,-0.019696969696969657,0.00857142857142854,-0.0136363636363636,0.01097560975609752,,0.00555555555555554,0.0166666666666666
Jewish,0.009722222222222179,0.02499999999999996,0.024242424242424197,0.020512820512820478,-0.016666666666666618,0.0371428571428571,-0.015151515151515142,0.0060975609756097416,,0.016666666666666642,0.027777777777777724
Mormon,0.0083333333333333,0.01428571428571426,0.01515151515151512,0.0064102564102564,-0.016666666666666642,0.025714285714285662,0.0015151515151514798,0.012195121951219481,,0.011111111111111103,0.0277777777777777
Muslim,0.0194444444444444,0.0,0.01818181818181812,0.023076923076923044,-0.033333333333333284,0.025714285714285662,-0.015151515151515119,0.048780487804877995,,0.022222222222222178,0.01944444444444442
Orthodox,-0.0041666666666666605,0.0107142857142857,0.02575757575757572,0.02307692307692304,-0.028787878787878734,0.02857142857142858,-0.0196969696969697,0.009756097560975601,,0.02499999999999994,0.04722222222222216
Protestant,0.00555555555555554,-1.9428902930940238e-17,0.03181818181818178,0.042307692307692255,-0.02424242424242418,0.017142857142857102,-0.00454545454545454,0.012195121951219481,,0.05277777777777772,0.008333333333333321
Sikh,-0.0041666666666666605,0.0,0.021212121212121158,0.01794871794871792,-0.03787878787878784,0.02285714285714282,-0.018181818181818157,0.00975609756097558,,0.016666666666666618,0.04722222222222216
