,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.09722222222222222,0.03571428571428571,0.007575757575757576,0.0,-0.10606060606060606,0.007142857142857143,-0.09848484848484848,0.006097560975609756,,0.08333333333333333,0.027777777777777776
Buddhist,-0.013888888888888888,0.25,0.045454545454545456,-0.02564102564102564,-0.14393939393939395,0.007142857142857143,-0.05303030303030303,-0.006097560975609756,,0.08333333333333333,0.08333333333333333
Catholic,-0.09722222222222222,-0.017857142857142856,0.3106060606060606,0.10897435897435898,-0.24242424242424243,0.02857142857142857,-0.09848484848484848,-0.006097560975609756,,0.013888888888888888,-0.027777777777777776
Christian,-0.013888888888888888,0.017857142857142856,0.12878787878787878,0.08974358974358974,-0.26515151515151514,0.05,-0.09848484848484848,0.012195121951219513,,0.041666666666666664,0.08333333333333333
Hindu,-0.09027777777777778,0.03571428571428571,0.045454545454545456,0.0,0.007575757575757576,0.0,-0.045454545454545456,0.0,,0.05555555555555555,0.08333333333333333
Jewish,0.034722222222222224,-0.017857142857142856,0.12878787878787878,0.03205128205128205,-0.2196969696969697,0.05,-0.07575757575757576,-0.006097560975609756,,0.09722222222222222,0.0
Mormon,-0.11805555555555555,0.017857142857142856,0.09090909090909091,0.0641025641025641,-0.25,0.02857142857142857,0.20454545454545456,-0.042682926829268296,,0.08333333333333333,-0.041666666666666664
Muslim,-0.0625,0.10714285714285714,0.015151515151515152,-0.00641025641025641,-0.20454545454545456,0.014285714285714285,-0.07575757575757576,0.16463414634146342,,0.027777777777777776,0.1111111111111111
Orthodox,-0.08333333333333333,0.03571428571428571,0.08333333333333333,0.10897435897435898,-0.22727272727272727,0.07142857142857142,-0.09848484848484848,0.024390243902439025,,0.06944444444444445,0.08333333333333333
Protestant,-0.027777777777777776,-0.03571428571428571,0.08333333333333333,0.21153846153846154,-0.25757575757575757,0.0,-0.08333333333333333,-0.06097560975609756,,0.18055555555555555,0.05555555555555555
Sikh,-0.041666666666666664,0.03571428571428571,0.03787878787878788,0.01282051282051282,-0.1893939393939394,0.04285714285714286,-0.07575757575757576,0.036585365853658534,,0.027777777777777776,0.25
