,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.0,0.017857142857142856,0.022727272727272728,0.00641025641025641,-0.015151515151515152,-0.007142857142857143,-0.030303030303030304,-0.018292682926829267,,0.013888888888888888,0.05555555555555555
Buddhist,0.0,0.05357142857142857,0.0,-0.00641025641025641,-0.007575757575757576,0.007142857142857143,-0.05303030303030303,-0.006097560975609756,,0.027777777777777776,0.05555555555555555
Catholic,0.05555555555555555,0.03571428571428571,0.007575757575757576,0.02564102564102564,-0.08333333333333333,-0.007142857142857143,-0.05303030303030303,-0.012195121951219513,,0.027777777777777776,0.05555555555555555
Christian,0.006944444444444444,0.03571428571428571,0.030303030303030304,0.00641025641025641,-0.07575757575757576,0.02142857142857143,-0.05303030303030303,0.006097560975609756,,0.041666666666666664,0.027777777777777776
Hindu,0.041666666666666664,0.05357142857142857,0.030303030303030304,-0.00641025641025641,-0.05303030303030303,-0.02857142857142857,-0.022727272727272728,-0.036585365853658534,,0.06944444444444445,0.041666666666666664
Jewish,0.027777777777777776,0.05357142857142857,0.022727272727272728,0.00641025641025641,-0.03787878787878788,0.02142857142857143,-0.06818181818181818,-0.018292682926829267,,0.027777777777777776,0.013888888888888888
Mormon,0.034722222222222224,0.017857142857142856,-0.015151515151515152,0.019230769230769232,-0.007575757575757576,-0.02142857142857143,-0.030303030303030304,-0.006097560975609756,,0.0,0.027777777777777776
Muslim,0.0625,-0.017857142857142856,-0.007575757575757576,0.0,-0.07575757575757576,-0.007142857142857143,-0.03787878787878788,0.024390243902439025,,0.027777777777777776,0.041666666666666664
Orthodox,0.0,0.03571428571428571,0.030303030303030304,0.01282051282051282,-0.07575757575757576,0.014285714285714285,-0.030303030303030304,0.0,,0.013888888888888888,0.041666666666666664
Protestant,0.006944444444444444,0.0,0.022727272727272728,0.057692307692307696,-0.06818181818181818,0.007142857142857143,-0.015151515151515152,-0.036585365853658534,,0.06944444444444445,-0.027777777777777776
Sikh,0.034722222222222224,-0.017857142857142856,0.015151515151515152,0.03205128205128205,-0.030303030303030304,-0.007142857142857143,-0.045454545454545456,-0.036585365853658534,,0.041666666666666664,0.041666666666666664
