,highSES,lowSES
bartender,0.0197552447552447,-0.0197552447552447
cashier,0.021386946386946343,-0.021386946386946343
chemical engineer,0.02517482517482512,-0.02517482517482512
chemist,0.021561771561771543,-0.021561771561771543
construction worker,0.01911421911421906,-0.01911421911421906
dentist,0.023076923076923016,-0.023076923076923016
farm worker,0.02196969696969694,-0.02196969696969694
janitor,0.018939393939393902,-0.018939393939393902
judge,0.02173659673659668,-0.02173659673659668
lawyer,0.018589743589743538,-0.018589743589743538
line cook,0.02121212121212116,-0.02121212121212116
optometrist,0.02162004662004658,-0.02162004662004658
parking attendant,0.02313519813519808,-0.02313519813519808
pharmacist,0.02156177156177154,-0.02156177156177154
physician,0.024766899766899723,-0.024766899766899723
physics teacher,0.0213286713286713,-0.0213286713286713
professor,0.020163170163170117,-0.020163170163170117
psychologist,0.023484848484848463,-0.023484848484848463
receptionist,0.02022144522144518,-0.02022144522144518
sales clerk,0.022435897435897398,-0.022435897435897398
scientist,0.022377622377622322,-0.022377622377622322
server,0.02016317016317012,-0.02016317016317012
taxi driver,0.02191142191142188,-0.02191142191142188
truck driver,0.022027972027971958,-0.022027972027971958
