Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
bartender,0.08098427249695742,0.03102385698861802,0.00594405594405594,0.08449883449883447,0.5966783216783217,0.8677738927738927
cashier,0.08556402602860408,0.034060781353702795,0.01491841491841488,0.09131701631701625,0.5644522144522144,0.8705128205128204
chemical engineer,0.10108483727044,0.031578793759079384,0.0058275058275058375,0.09632867132867129,0.6740093240093239,0.8272727272727274
chemist,0.09063728304342557,0.03298190593667572,0.00734265734265734,0.11899766899766898,0.6194055944055943,0.8539044289044287
construction worker,0.07578879541771436,0.038581988082188975,0.016083916083916037,0.061421911421911404,0.47727272727272724,0.8671328671328672
dentist,0.09280741325147271,0.0349107900908054,0.00454545454545454,0.10996503496503496,0.6114801864801865,0.866958041958042
farm worker,0.0831464112699325,0.04148733679822148,0.017832167832167782,0.04324009324009324,0.49073426573426565,0.8614801864801865
janitor,0.07825820686727676,0.03488782989550854,0.043006993006992955,0.05262237762237763,0.5367132867132867,0.8603146853146851
judge,0.08853632857092208,0.028814924910419,0.030069930069930063,0.0869463869463869,0.6656759906759906,0.8251748251748252
lawyer,0.09763073789929644,0.02479568431206388,0.017482517482517442,0.0761655011655011,0.7365384615384615,0.7756410256410258
line cook,0.07804294966059729,0.033961171419584164,0.026223776223776203,0.05827505827505826,0.5486013986013986,0.8659090909090909
optometrist,0.09470265765144734,0.025908146566750324,-0.011888111888111879,0.09178321678321676,0.7,0.8255244755244755
parking attendant,0.08600252380338116,0.0360468005128046,0.0179487179487179,0.08747086247086243,0.5728438228438228,0.8803030303030303
pharmacist,0.08932906467354565,0.029474602320251803,-0.01363636363636358,0.10675990675990672,0.6506993006993007,0.8597319347319348
physician,0.10394621971725222,0.03212442848288401,-0.012470862470862461,0.10641025641025637,0.6745920745920746,0.8241841491841491
physics teacher,0.09320942760382775,0.03062788988114436,0.0017482517482517001,0.10536130536130532,0.6673659673659673,0.8474941724941726
professor,0.08257001804992806,0.03349675035457602,0.012937062937062921,0.13490675990675988,0.5867715617715618,0.8577505827505828
psychologist,0.10559959097478995,0.02146356710373354,-0.0048951048951049,0.05314685314685312,0.7900932400932402,0.7692307692307692
receptionist,0.09243038968804958,0.029113653159885643,-0.010955710955710981,0.08630536130536126,0.6352564102564101,0.8423076923076923
sales clerk,0.08385083362406212,0.03347316071985478,-0.021212121212121182,0.09527972027972023,0.5955710955710956,0.8791375291375292
scientist,0.10206635215994511,0.02786809416658864,0.011655011655011698,0.08898601398601395,0.7202214452214453,0.8057109557109557
server,0.08200013876349788,0.029690992252333803,0.0031468531468531193,0.08030303030303025,0.6414918414918416,0.8745337995337996
taxi driver,0.07640921046289825,0.0361565070418701,0.02167832167832166,0.09324009324009318,0.5113636363636364,0.8853146853146854
truck driver,0.07764005011824217,0.03836235527139693,0.03146853146853142,0.05565268065268064,0.487062937062937,0.8573426573426574
