,highSES,lowSES
bartender,0.06847319347319347,0.02564102564102564
cashier,0.07837995337995338,0.041375291375291376
chemical engineer,0.07051282051282051,0.017191142191142192
chemist,0.1048951048951049,0.011072261072261072
construction worker,0.04487179487179487,0.06148018648018648
dentist,0.12237762237762238,0.01893939393939394
farm worker,0.030303030303030304,0.07167832167832168
janitor,0.016317016317016316,0.033216783216783216
judge,0.04020979020979021,-0.003787878787878788
lawyer,0.06555944055944056,0.007867132867132868
line cook,0.039627039627039624,0.022144522144522144
optometrist,0.07896270396270397,0.022144522144522144
parking attendant,0.07400932400932402,0.027389277389277388
pharmacist,0.11567599067599067,0.027097902097902096
physician,0.13082750582750582,0.011072261072261072
physics teacher,0.09702797202797203,0.005827505827505828
professor,0.1483100233100233,0.009324009324009324
psychologist,0.04020979020979021,0.006701631701631702
receptionist,0.09178321678321678,0.03613053613053613
sales clerk,0.10110722610722611,0.039335664335664336
scientist,0.07284382284382285,0.0026223776223776225
server,0.07575757575757576,0.026223776223776224
taxi driver,0.0675990675990676,0.013403263403263404
truck driver,0.024475524475524476,0.03671328671328671
