,highSES,lowSES
bartender,0.009032634032634032,-0.009324009324009324
cashier,0.016317016317016316,-0.009615384615384616
chemical engineer,0.01282051282051282,-0.011655011655011656
chemist,0.013986013986013986,-0.009324009324009324
construction worker,0.01048951048951049,-0.004079254079254079
dentist,0.015151515151515152,-0.014568764568764568
farm worker,0.01282051282051282,-0.01078088578088578
janitor,0.01048951048951049,-0.005827505827505828
judge,0.010198135198135198,-0.01078088578088578
lawyer,0.007284382284382284,-0.013694638694638694
line cook,0.01252913752913753,-0.006118881118881119
optometrist,0.01282051282051282,-0.011946386946386946
parking attendant,0.013986013986013986,-0.007284382284382284
pharmacist,0.006118881118881119,-0.017482517482517484
physician,0.016317016317016316,-0.016317016317016316
physics teacher,0.013111888111888112,-0.011946386946386946
professor,0.009032634032634032,-0.01282051282051282
psychologist,0.009032634032634032,-0.014277389277389278
receptionist,0.011072261072261072,-0.01893939393939394
sales clerk,0.009615384615384616,-0.019813519813519812
scientist,0.01252913752913753,-0.013403263403263404
server,0.004370629370629371,-0.011946386946386946
taxi driver,0.00844988344988345,-0.014568764568764568
truck driver,0.016317016317016316,-0.004953379953379953
