Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
bartender,0.08674698795180724,0.06197657763922826,-0.018065268065268092,0.1657925407925408,0.28554778554778554,0.9023892773892774
cashier,0.07576668671076359,0.055964029956814015,-0.006993006993006978,0.15967365967365965,0.26136363636363635,0.9026806526806527
chemical engineer,0.09575457080880079,0.059288596436101876,0.002913752913752954,0.1386946386946387,0.38082750582750585,0.8650932400932401
chemist,0.0802563320109857,0.05352760605278155,0.022144522144522116,0.1593822843822844,0.333041958041958,0.8857808857808858
construction worker,0.07305530908015379,0.06192246331997883,-0.022727272727272707,0.12529137529137524,0.15238927738927738,0.8831585081585082
dentist,0.07923832923832919,0.05409539784539781,0.01689976689976691,0.1360722610722611,0.3173076923076923,0.8767482517482518
farm worker,0.0724724127646883,0.05819754358376484,-0.005244755244755206,0.09294871794871795,0.19696969696969696,0.8843240093240093
janitor,0.05650060753341424,0.040926722123562874,0.02447552447552448,0.09120046620046618,0.27564102564102566,0.8793706293706294
judge,0.09234507897934385,0.05822690877368884,0.005827505827505908,0.15646853146853149,0.36946386946386944,0.8712121212121212
lawyer,0.08629776021080371,0.04063437660275606,0.037296037296037254,0.10606060606060608,0.5291375291375291,0.8024475524475524
line cook,0.06722942417847455,0.05379137494000324,0.027972027972028024,0.1217948717948718,0.1998834498834499,0.8735431235431236
optometrist,0.07787391841779967,0.045948334730782144,-0.018648018648018683,0.1453962703962704,0.40996503496503495,0.8636363636363636
parking attendant,0.09450945094509455,0.07096470136524145,-0.022727272727272707,0.1488927738927739,0.2491258741258741,0.9082167832167832
pharmacist,0.07645446238196763,0.0484077933438274,0.005244755244755206,0.16987179487179488,0.36684149184149184,0.8843240093240093
physician,0.10980513454995355,0.06206933596355183,0.020396270396270344,0.11013986013986013,0.4347319347319347,0.8511072261072261
physics teacher,0.08850645359557463,0.05307292584489877,0.027972027972028024,0.13636363636363638,0.40034965034965037,0.8688811188811189
professor,0.08571428571428563,0.053846153846153794,0.023310023310023298,0.15297202797202797,0.3717948717948718,0.8665501165501166
psychologist,0.10536779324055656,0.04767954047278098,0.030885780885780867,0.07546620046620048,0.5474941724941725,0.7770979020979021
receptionist,0.0895839659884603,0.05494587657509002,-0.018065268065268092,0.13257575757575757,0.38665501165501165,0.8924825174825175
sales clerk,0.09074573225516613,0.0658646908646908,-0.03146853146853146,0.15763403263403264,0.2741841491841492,0.9038461538461539
scientist,0.10502577319587636,0.05116640232619618,0.03205128205128216,0.1016899766899767,0.5128205128205128,0.8184731934731935
server,0.10122699386503076,0.058783624351109065,0.002331002331002252,0.12296037296037296,0.4192890442890443,0.8741258741258742
taxi driver,0.06400966183574885,0.04867867639606775,0.019813519813519864,0.09586247086247085,0.2395104895104895,0.8787878787878788
truck driver,0.0681750520988389,0.05697145962105767,0.015151515151515138,0.08828671328671334,0.16433566433566432,0.8479020979020979
