,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.027777777777777776,0.0,0.0,0.0,-0.12121212121212122,0.02142857142857143,0.0,0.024390243902439025,,0.041666666666666664,0.0
Buddhist,0.027777777777777776,0.017857142857142856,0.0,0.0,-0.13636363636363635,0.02142857142857143,0.0,0.024390243902439025,,0.041666666666666664,0.0
Catholic,0.020833333333333332,0.0,0.015151515151515152,0.0,-0.12878787878787878,0.02857142857142857,0.0,0.024390243902439025,,0.041666666666666664,0.0
Christian,0.027777777777777776,0.0,0.015151515151515152,0.0,-0.12878787878787878,0.02857142857142857,0.0,0.018292682926829267,,0.041666666666666664,0.0
Hindu,0.027777777777777776,0.0,0.0,0.0,-0.13636363636363635,0.02857142857142857,0.0,0.024390243902439025,,0.041666666666666664,0.0
Jewish,0.020833333333333332,0.0,-0.015151515151515152,0.0,-0.09090909090909091,0.04285714285714286,0.0,0.018292682926829267,,0.041666666666666664,0.0
Mormon,0.020833333333333332,0.0,0.0,0.0,-0.09090909090909091,0.02142857142857143,0.0,0.024390243902439025,,0.027777777777777776,0.0
Muslim,0.027777777777777776,0.017857142857142856,0.007575757575757576,0.0,-0.14393939393939395,0.02857142857142857,0.0,0.024390243902439025,,0.041666666666666664,0.0
Orthodox,0.020833333333333332,0.0,0.0,-0.00641025641025641,-0.10606060606060606,0.03571428571428571,0.0,0.024390243902439025,,0.041666666666666664,0.0
Protestant,0.020833333333333332,0.0,0.030303030303030304,0.0,-0.11363636363636363,0.02142857142857143,-0.007575757575757576,0.024390243902439025,,0.041666666666666664,0.0
Sikh,0.027777777777777776,0.017857142857142856,-0.007575757575757576,0.0,-0.13636363636363635,0.02857142857142857,-0.007575757575757576,0.024390243902439025,,0.041666666666666664,0.027777777777777776
