Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
Atheist,0.05463182897862229,0.00327790973871734,-0.1366666666666666,0.05666666666666667,0.94,0.685
Buddhist,0.06493506493506485,0.0035714285714285696,-0.16666666666666663,0.055,0.945,0.6233333333333333
Catholic,0.06481481481481488,0.004320987654320991,-0.18333333333333335,0.05666666666666667,0.9333333333333333,0.7016666666666667
Christian,0.0755555555555556,0.005037037037037039,-0.1433333333333333,0.05333333333333333,0.9333333333333333,0.7316666666666667
Hindu,0.05741626794258381,0.0037320574162679446,-0.17666666666666675,0.058333333333333334,0.935,0.6783333333333333
Jewish,0.05213270142180093,0.00330173775671406,-0.15666666666666662,0.056666666666666664,0.9366666666666666,0.685
Mormon,0.028436018957346043,0.0019905213270142216,-0.18000000000000005,0.04333333333333333,0.93,0.69
Muslim,0.04694835680751175,0.0032081377151799706,-0.14,0.055,0.9316666666666666,0.6866666666666666
Orthodox,0.05855855855855863,0.0039039039039039077,-0.1333333333333333,0.06333333333333334,0.9333333333333333,0.72
Protestant,0.06997742663656892,0.005015048908954105,-0.14,0.065,0.9283333333333333,0.72
Sikh,0.08133971291866038,0.005558213716108461,-0.17333333333333334,0.065,0.9316666666666666,0.6733333333333333
