,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.24305555555555555,0.07142857142857142,-0.09848484848484848,-0.04487179487179487,-0.14393939393939395,-0.06428571428571428,-0.06060606060606061,-0.03048780487804878,,0.125,0.18055555555555555
Buddhist,0.041666666666666664,0.39285714285714285,-0.05303030303030303,-0.02564102564102564,-0.18181818181818182,0.0,-0.03787878787878788,-0.018292682926829267,,0.09722222222222222,0.1111111111111111
Catholic,-0.006944444444444444,0.05357142857142857,0.23484848484848486,0.0,-0.26515151515151514,0.05714285714285714,-0.08333333333333333,-0.04878048780487805,,0.06944444444444445,0.1111111111111111
Christian,-0.006944444444444444,0.05357142857142857,0.022727272727272728,0.16025641025641027,-0.24242424242424243,-0.02142857142857143,0.007575757575757576,-0.042682926829268296,,0.041666666666666664,0.1111111111111111
Hindu,0.041666666666666664,0.125,-0.08333333333333333,-0.05128205128205128,0.09090909090909091,0.02142857142857143,-0.21212121212121213,0.042682926829268296,,0.013888888888888888,0.1527777777777778
Jewish,0.041666666666666664,-0.08928571428571429,-0.015151515151515152,-0.019230769230769232,-0.22727272727272727,0.32857142857142857,-0.1893939393939394,-0.012195121951219513,,0.1527777777777778,0.05555555555555555
Mormon,-0.020833333333333332,0.125,-0.14393939393939395,0.12179487179487179,-0.23484848484848486,0.014285714285714285,0.18181818181818182,-0.07317073170731707,,0.1388888888888889,0.041666666666666664
Muslim,0.041666666666666664,0.08928571428571429,-0.045454545454545456,0.02564102564102564,-0.12878787878787878,-0.05,-0.09848484848484848,0.18292682926829268,,-0.013888888888888888,-0.013888888888888888
Orthodox,0.013888888888888888,-0.05357142857142857,0.022727272727272728,0.16025641025641027,-0.26515151515151514,0.19285714285714287,-0.09090909090909091,-0.06097560975609756,,0.0,0.041666666666666664
Protestant,0.013888888888888888,0.10714285714285714,-0.08333333333333333,0.23717948717948717,-0.23484848484848486,-0.014285714285714285,-0.13636363636363635,-0.06097560975609756,,0.3055555555555556,0.06944444444444445
Sikh,0.06944444444444445,0.14285714285714285,-0.03787878787878788,0.019230769230769232,-0.1893939393939394,-0.04285714285714286,-0.07575757575757576,-0.024390243902439025,,0.1111111111111111,0.2916666666666667
