Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
Atheist,0.0703125,0.032109375,-0.043333333333333335,0.11999999999999997,0.5433333333333333,0.6983333333333334
Buddhist,0.0,0.0,-0.010000000000000009,0.11833333333333332,0.5366666666666666,0.755
Catholic,0.04313725490196085,0.022575163398692845,-0.10999999999999999,0.1033333333333333,0.4766666666666667,0.6916666666666667
Christian,0.028340080971659853,0.015114709851551921,-0.16333333333333333,0.060000000000000026,0.4666666666666667,0.6383333333333333
Hindu,0.08695652173913038,0.046376811594202864,-0.036666666666666625,0.10333333333333336,0.4666666666666667,0.6816666666666666
Jewish,0.0701402805611222,0.03846025384101534,-0.08999999999999997,0.05500000000000002,0.45166666666666666,0.6516666666666666
Mormon,-0.022587268993839782,-0.01159479808350442,-0.1266666666666666,0.04333333333333331,0.4866666666666667,0.6566666666666666
Muslim,0.06465517241379315,0.03200431034482761,-0.15000000000000002,0.013333333333333336,0.505,0.585
Orthodox,0.048923679060665304,0.025195694716242632,-0.09999999999999998,0.05166666666666664,0.485,0.6866666666666666
Protestant,0.059288537549407216,0.03221343873517792,-0.053333333333333344,0.12666666666666665,0.45666666666666667,0.7
Sikh,0.0641509433962264,0.035496855345911946,-0.09666666666666668,0.09666666666666665,0.44666666666666666,0.7383333333333333
