,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.06,0.012396694214876033,,-0.014,0.006066734074823054,0.0071090047393364926,0.0,-0.022988505747126436,0.01935483870967742,-0.0273972602739726,-0.001759014951627089,-0.047619047619047616,-0.02586206896551724,-0.0375,-0.09090909090909091,0.009708737864077669
African American,0.03225806451612903,0.030973451327433628,,-0.002061855670103093,0.004171011470281543,-0.007912355447352405,0.0,-0.022988505747126436,0.026845637583892617,-0.02631578947368421,-0.007174887892376682,-0.01,0.0,0.0,-0.015384615384615385,0.015558698727015558
Alaskan,-0.03225806451612903,0.012658227848101266,,-0.0010152284263959391,0.013333333333333334,-0.009679370840895343,-0.01639344262295082,0.06976744186046512,0.013157894736842105,-0.012345679012345678,0.0017667844522968198,-0.050505050505050504,0.04504504504504504,-0.06493506493506493,-0.046153846153846156,0.005625879043600563
Arab,0.0449438202247191,-0.034334763948497854,,-0.001034126163391934,0.008583690987124463,-0.017879161528976572,-0.016666666666666666,0.09195402298850575,-0.041379310344827586,0.012987012987012988,0.009009009009009009,0.029411764705882353,0.009345794392523364,0.02631578947368421,-0.015384615384615385,0.012893982808022923
Asian,-0.043478260869565216,-0.01762114537444934,,0.007231404958677686,-0.0031678986272439284,-0.014276846679081317,-0.016666666666666666,0.023529411764705882,0.05194805194805195,0.012987012987012988,0.00272975432211101,-0.02040816326530612,-0.03636363636363636,0.013333333333333334,0.0,0.027338129496402876
Black,-0.043010752688172046,0.02092050209205021,,-0.011033099297893681,0.005257623554153523,-0.009738283627510651,0.016666666666666666,0.011627906976744186,0.006622516556291391,0.012987012987012988,0.004472271914132379,0.0,-0.009174311926605505,0.0,-0.12121212121212122,0.029914529914529916
Caucasian,0.0,-0.02654867256637168,,0.0030211480362537764,0.0031185031185031187,-0.017543859649122806,0.04918032786885246,0.03529411764705882,0.052980132450331126,0.0410958904109589,-0.005333333333333333,0.0,-0.027522935779816515,0.0,0.0,0.0297029702970297
European,0.043010752688172046,-0.004424778761061947,,-0.0010050251256281408,-0.006179196704428424,-0.017607771706132362,0.016666666666666666,0.03296703296703297,0.006622516556291391,0.0375,0.007957559681697613,-0.041666666666666664,0.02702702702702703,-0.04054054054054054,-0.03125,0.030985915492957747
Hispanic,0.021505376344086023,-0.05761316872427984,,0.006979062811565304,-0.009109311740890687,-0.017985611510791366,0.0,0.0,0.03333333333333333,-0.0547945205479452,0.024778761061946902,-0.009615384615384616,0.06363636363636363,0.025974025974025976,0.07936507936507936,0.002770083102493075
Jewish,-0.03333333333333333,-0.008620689655172414,,0.003092783505154639,-0.007446808510638298,-0.00865265760197775,0.06779661016949153,0.046511627906976744,0.006802721088435374,0.05194805194805195,0.0009033423667570009,0.0,0.02830188679245283,-0.0273972602739726,-0.016666666666666666,0.01291248206599713
Latino,0.045454545454545456,-0.045081967213114756,,-0.0010090817356205853,0.01026694045174538,-0.012582384661473937,0.05,0.046511627906976744,0.0,0.0,0.007104795737122558,-0.05555555555555555,-0.009174311926605505,0.025,-0.03076923076923077,0.015214384508990318
Middle Eastern,-0.033707865168539325,-0.004366812227074236,,-0.0020554984583761563,0.0125,-0.011585365853658536,0.05357142857142857,0.047619047619047616,0.006622516556291391,0.0,0.017985611510791366,-0.041237113402061855,-0.01818181818181818,-0.0273972602739726,0.01639344262295082,-0.011396011396011397
Native American,0.012048192771084338,0.00975609756097561,,-0.007391763463569166,0.0,-0.008860759493670886,0.0,-0.036585365853658534,0.03007518796992481,-0.015384615384615385,0.012149532710280374,-0.03333333333333333,0.039603960396039604,-0.05555555555555555,0.017857142857142856,0.010510510510510511
Roma,0.022727272727272728,-0.017543859649122806,,-0.01023541453428864,0.0010615711252653928,-0.018656716417910446,0.017543859649122806,0.011764705882352941,0.0136986301369863,0.013333333333333334,0.01639344262295082,-0.010752688172043012,-0.009523809523809525,-0.014084507042253521,0.0,0.030656934306569343
South American,-0.031578947368421054,-0.012048192771084338,,-0.0009891196834817012,0.015337423312883436,-0.0125,-0.01639344262295082,0.03409090909090909,0.02,0.05063291139240506,0.013227513227513227,-0.0196078431372549,0.008928571428571428,-0.03614457831325301,-0.04838709677419355,-0.0055248618784530384
White,0.02197802197802198,-0.022026431718061675,,-0.012320328542094456,0.008556149732620321,-0.023384615384615386,0.0,0.036585365853658534,0.027210884353741496,0.0375,0.014388489208633094,-0.041237113402061855,0.017857142857142856,-0.043478260869565216,0.04918032786885246,0.030390738060781478
