,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.06,0.038461538461538464,,0.01532567049808429,0.055232558139534885,0.04050925925925926,0.015625,0.05434782608695652,-0.04878048780487805,0.05952380952380952,0.021258503401360544,-0.017857142857142856,-0.016666666666666666,0.047619047619047616,0.029411764705882353,0.047872340425531915
African American,0.04,0.0038461538461538464,,0.019157088122605363,0.05329457364341085,0.022569444444444444,-0.015625,0.03260869565217391,0.0,0.05952380952380952,0.017006802721088437,-0.03571428571428571,0.03333333333333333,0.023809523809523808,0.0,0.02925531914893617
Alaskan,0.01,-0.03076923076923077,,0.027777777777777776,0.03875968992248062,0.009837962962962963,0.046875,0.05434782608695652,-0.03048780487804878,0.03571428571428571,0.04081632653061224,0.0,-0.016666666666666666,0.047619047619047616,0.029411764705882353,0.0678191489361702
Arab,0.01,-0.023076923076923078,,0.031609195402298854,0.0436046511627907,0.005208333333333333,0.0,0.010869565217391304,0.006097560975609756,0.13095238095238096,0.03231292517006803,0.008928571428571428,0.0,0.011904761904761904,0.029411764705882353,0.03856382978723404
Asian,0.02,-0.03461538461538462,,0.035440613026819924,0.030038759689922482,0.02199074074074074,0.015625,0.021739130434782608,0.012195121951219513,0.07142857142857142,0.041666666666666664,-0.008928571428571428,0.0,0.023809523809523808,0.0,0.04654255319148936
Black,0.03,0.06153846153846154,,0.007662835249042145,0.035852713178294575,0.01273148148148148,0.0,0.03260869565217391,0.036585365853658534,0.10714285714285714,0.011904761904761904,-0.03571428571428571,-0.06666666666666667,0.07142857142857142,0.0,0.04521276595744681
Caucasian,0.02,-0.015384615384615385,,0.03065134099616858,0.05135658914728682,0.010416666666666666,0.15625,0.05434782608695652,0.024390243902439025,0.09523809523809523,0.04931972789115646,-0.008928571428571428,-0.05,-0.011904761904761904,0.0,0.07579787234042554
European,0.01,-0.015384615384615385,,0.020114942528735632,0.05717054263565891,-0.00636574074074074,0.046875,0.14130434782608695,-0.012195121951219513,0.08333333333333333,0.02465986394557823,0.0,0.008333333333333333,0.05952380952380952,0.014705882352941176,0.06914893617021277
Hispanic,0.01,-0.007692307692307693,,-0.0009578544061302681,0.0436046511627907,-0.0028935185185185184,0.03125,0.010869565217391304,0.07926829268292683,0.047619047619047616,0.04846938775510204,-0.026785714285714284,0.025,0.03571428571428571,0.058823529411764705,0.03723404255319149
Jewish,0.04,0.0038461538461538464,,0.013409961685823755,0.041666666666666664,0.0028935185185185184,0.015625,0.03260869565217391,-0.024390243902439025,0.15476190476190477,0.03316326530612245,-0.026785714285714284,-0.008333333333333333,0.023809523809523808,-0.014705882352941176,0.05053191489361702
Latino,0.05,-0.007692307692307693,,-0.0019157088122605363,0.020348837209302327,-0.00636574074074074,0.046875,0.06521739130434782,0.04878048780487805,0.05952380952380952,0.06972789115646258,-0.017857142857142856,0.025,0.07142857142857142,0.029411764705882353,0.04920212765957447
Middle Eastern,0.02,-0.0038461538461538464,,0.040229885057471264,0.03197674418604651,-0.006944444444444444,0.015625,0.07608695652173914,-0.006097560975609756,0.05952380952380952,0.022108843537414966,0.03571428571428571,-0.058333333333333334,0.011904761904761904,-0.058823529411764705,0.0398936170212766
Native American,0.01,-0.015384615384615385,,0.019157088122605363,0.041666666666666664,0.013310185185185185,0.03125,0.08695652173913043,0.006097560975609756,0.047619047619047616,0.04081632653061224,-0.017857142857142856,0.058333333333333334,0.023809523809523808,-0.058823529411764705,0.0598404255319149
Roma,0.02,-0.007692307692307693,,0.008620689655172414,0.05813953488372093,0.005787037037037037,0.03125,0.06521739130434782,0.012195121951219513,0.011904761904761904,0.039965986394557826,-0.044642857142857144,-0.03333333333333333,0.047619047619047616,0.029411764705882353,0.026595744680851064
South American,0.01,0.0038461538461538464,,-0.01053639846743295,0.013565891472868217,0.0011574074074074073,0.015625,0.09782608695652174,0.09146341463414634,0.047619047619047616,0.06972789115646258,-0.008928571428571428,-0.008333333333333333,0.09523809523809523,0.058823529411764705,0.04920212765957447
White,0.01,-0.011538461538461539,,0.0210727969348659,0.050387596899224806,0.005208333333333333,0.15625,0.16304347826086957,-0.018292682926829267,0.10714285714285714,0.06717687074829932,0.03571428571428571,0.0,0.08333333333333333,0.014705882352941176,0.09574468085106383
